first,second,travel_time
r5c10,r5c11,4.061
r5c10,r6c10,4.499
r5c11,r5c12,5.948
r5c11,r6c11,3.762
r5c12,r5c13,1.023
r5c12,r6c12,2.783
r5c13,r5c14,4.146
r5c13,r6c13,3.936
r5c14,r5c15,4.789
r5c14,r6c14,5.887
r5c15,r6c15,1.097
r6c0,r6c1,5.425
r6c0,r7c0,4.650
r6c1,r6c2,4.699
r6c1,r7c1,2.908
r6c2,r6c3,4.616
r6c2,r7c2,3.401
r6c3,r6c4,3.402
r6c3,r7c3,1.157
r6c4,r6c5,2.624
r6c4,r7c4,3.988
r6c5,r6c6,1.698
r6c5,r7c5,5.641
r6c6,r6c7,2.859
r6c6,r7c6,4.463
r6c7,r6c8,1.591
r6c7,r7c7,5.705
r6c8,r6c9,4.370
r6c8,r7c8,1.665
r6c9,r6c10,3.230
r6c9,r7c9,2.261
r6c10,r6c11,5.073
r6c10,r7c10,4.049
r6c11,r6c12,3.640
r6c11,r7c11,4.695
r6c12,r6c13,3.986
r6c12,r7c12,3.919
r6c13,r6c14,1.158
r6c13,r7c13,1.606
r6c14,r6c15,1.454
r6c14,r7c14,3.653
r6c15,r7c15,3.357
r7c0,r7c1,4.496
r7c0,r8c0,2.684
r7c1,r7c2,3.605
r7c1,r8c1,5.662
r7c2,r7c3,1.278
r7c2,r8c2,3.871
r7c3,r7c4,2.031
r7c3,r8c3,5.559
r7c4,r7c5,1.697
r7c4,r8c4,5.629
r7c5,r7c6,2.491
r7c5,r8c5,2.363
r7c6,r7c7,4.056
r7c6,r8c6,5.912
r7c7,r7c8,5.334
r7c7,r8c7,2.885
r7c8,r7c9,4.278
r7c8,r8c8,2.426
r7c9,r7c10,2.957
r7c9,r8c9,2.612
r7c10,r7c11,1.674
r7c10,r8c10,4.836
r7c11,r7c12,1.442
r7c11,r8c11,4.632
r7c12,r7c13,4.617
r7c12,r8c12,3.803
r7c13,r7c14,5.033
r7c13,r8c13,5.927
r7c14,r7c15,4.214
r7c14,r8c14,1.703
r7c15,r8c15,1.371
r8c0,r8c1,3.376
r8c0,r9c0,2.585
r8c1,r8c2,2.755
r8c1,r9c1,2.643
r8c2,r8c3,3.025
r8c2,r9c2,5.052
r8c3,r8c4,4.369
r8c3,r9c3,2.212
r8c4,r8c5,3.628
r8c4,r9c4,4.484
r8c5,r8c6,1.193
r8c5,r9c5,5.803
r8c6,r8c7,2.546
r8c6,r9c6,1.982
r8c7,r8c8,2.012
r8c7,r9c7,2.572
r8c8,r8c9,2.943
r8c8,r9c8,2.572
r8c9,r8c10,3.273
r8c9,r9c9,2.320
r8c10,r8c11,5.382
r8c10,r9c10,1.115
r8c11,r8c12,2.354
r8c11,r9c11,3.881
r8c12,r8c13,2.709
r8c12,r9c12,4.244
r8c13,r8c14,5.854
r8c13,r9c13,2.972
r8c14,r8c15,5.066
r8c14,r9c14,4.146
r8c15,r9c15,5.939
r9c0,r9c1,2.534
r9c0,r10c0,1.145
r9c1,r9c2,1.653
r9c1,r10c1,5.658
r9c2,r9c3,4.958
r9c2,r10c2,1.682
r9c3,r9c4,1.527
r9c3,r10c3,3.512
r9c4,r9c5,5.813
r9c4,r10c4,1.016
r9c5,r9c6,1.432
r9c5,r10c5,1.914
r9c6,r9c7,2.088
r9c6,r10c6,3.742
r9c7,r9c8,4.652
r9c7,r10c7,4.706
r9c8,r9c9,1.523
r9c8,r10c8,2.001
r9c9,r9c10,1.693
r9c9,r10c9,1.292
r9c10,r9c11,3.319
r9c10,r10c10,4.309
r9c11,r9c12,4.294
r9c11,r10c11,1.181
r9c12,r9c13,1.816
r9c12,r10c12,2.492
r9c13,r9c14,3.874
r9c13,r10c13,3.423
r9c14,r9c15,5.737
r9c14,r10c14,2.220
r9c15,r10c15,4.156
r10c0,r10c1,2.893
r10c0,r11c0,2.972
r10c1,r10c2,3.748
r10c1,r11c1,5.020
r10c2,r10c3,1.859
r10c2,r11c2,5.212
r10c3,r10c4,4.203
r10c3,r11c3,3.313
r10c4,r10c5,3.973
r10c4,r11c4,3.184
r10c5,r10c6,4.347
r10c5,r11c5,2.160
r10c6,r10c7,1.261
r10c6,r11c6,4.263
r10c7,r10c8,1.569
r10c7,r11c7,3.333
r10c8,r10c9,2.127
r10c8,r11c8,3.902
r10c9,r10c10,4.315
r10c9,r11c9,2.308
r10c10,r10c11,3.056
r10c10,r11c10,5.516
r10c11,r10c12,1.316
r10c11,r11c11,1.533
r10c12,r10c13,5.590
r10c12,r11c12,4.973
r10c13,r10c14,4.800
r10c13,r11c13,5.861
r10c14,r10c15,1.304
r10c14,r11c14,4.563
r10c15,r11c15,3.466
r11c0,r11c1,4.495
r11c1,r11c2,3.940
r11c2,r11c3,5.599
r11c3,r11c4,3.088
r11c4,r11c5,3.010
r11c5,r11c6,4.359
r11c6,r11c7,3.619
r11c7,r11c8,4.430
r11c8,r11c9,4.562
r11c9,r11c10,1.069
r11c10,r11c11,3.232
r11c11,r11c12,1.230
r11c12,r11c13,2.609
r11c13,r11c14,3.707
r11c14,r11c15,4.191
