record_id,label,score
row-00000129,0,0.55819344
row-00000130,1,0.45097934
row-00000131,0,0.38002757
row-00000132,0,0.25513171
row-00000133,0,0.35871092
row-00000134,0,0.20517456
row-00000135,0,0.51406720
row-00000136,0,0.16174584
row-00000137,1,0.43560419
row-00000138,0,0.46499989
row-00000139,1,0.76001225
row-00000140,0,0.51062764
row-00000141,1,0.50052331
row-00000142,1,0.97682881
row-00000143,0,0.20063331
row-00000144,1,0.84736670
row-00000145,1,0.66895849
row-00000146,0,0.31892504
row-00000147,1,0.55343198
row-00000148,1,0.84375117
row-00000149,1,0.90073074
row-00000150,0,0.30259868
row-00000151,0,0.24366921
row-00000152,1,0.72014499
row-00000153,0,0.37652678
row-00000154,0,0.20159180
row-00000155,0,0.36166008
row-00000156,0,0.12191820
row-00000157,0,0.20884442
row-00000158,1,0.94377811
row-00000159,0,0.52437935
row-00000160,1,0.91980338
row-00000161,1,0.82511471
row-00000162,0,0.18310557
row-00000163,1,0.79591902
row-00000164,0,0.08852973
row-00000165,1,0.90009866
row-00000166,0,0.26864811
row-00000167,0,0.41923997
row-00000168,1,0.95512294
row-00000169,0,0.17651803
row-00000170,0,0.11211483
row-00000171,1,0.89331023
row-00000172,0,0.46828566
row-00000173,0,0.47320976
row-00000174,0,0.52332071
row-00000175,0,0.54669906
row-00000176,0,0.14615265
row-00000177,0,0.22912004
row-00000178,1,0.95644049
row-00000179,0,0.12129735
row-00000180,1,0.79429103
row-00000181,0,0.17260019
row-00000182,0,0.17859377
row-00000183,0,0.35879360
row-00000184,0,0.65819435
row-00000185,1,0.71857717
row-00000186,0,0.16415313
row-00000187,0,0.40261916
row-00000188,0,0.17835039
row-00000189,0,0.07827970
row-00000190,1,0.79147245
row-00000191,1,0.52609845
row-00000192,0,0.62533013
row-00000193,0,0.43832952
row-00000194,0,0.08439218
row-00000195,0,0.73254097
row-00000196,1,0.91643843
row-00000197,0,0.07196492
row-00000198,0,0.45824294
row-00000199,0,0.27731238
row-00000200,1,0.75548677
row-00000201,1,0.38020380
row-00000202,1,0.60158569
row-00000203,1,0.82665527
row-00000204,0,0.44427324
row-00000205,1,0.59292804
row-00000206,0,0.36781591
row-00000207,0,0.22472530
row-00000208,1,0.74039414
row-00000209,0,0.21463135
row-00000210,0,0.71144765
row-00000211,0,0.24917874
row-00000212,1,0.90959922
row-00000213,1,0.80735352
row-00000214,1,0.88415916
row-00000215,1,0.73364798
row-00000216,1,0.67366540
row-00000217,0,0.16630654
row-00000218,0,0.27726436
row-00000219,0,0.22728940
row-00000220,0,0.55533603
row-00000221,0,0.08515156
row-00000222,0,0.27727545
row-00000223,0,0.44573957
row-00000224,0,0.19841031
row-00000225,0,0.30046085
row-00000226,0,0.31682788
row-00000227,0,0.11947040
row-00000228,0,0.36502965
row-00000229,0,0.18471986
row-00000230,0,0.47467936
row-00000231,0,0.09800096
row-00000232,0,0.28268545
row-00000233,1,0.63864933
row-00000234,1,0.59797617
row-00000235,0,0.16621771
row-00000236,1,0.80257204
row-00000237,0,0.36947803
row-00000238,0,0.52783701
row-00000239,0,0.43810574
row-00000240,1,0.66284498
row-00000241,0,0.21706701
row-00000242,0,0.21534523
row-00000243,0,0.42646167
row-00000244,1,0.37162873
row-00000245,0,0.13598194
row-00000246,1,0.89840713
row-00000247,0,0.28921367
row-00000248,1,0.84684125
row-00000249,1,0.47523920
row-00000250,0,0.23337822
row-00000251,0,0.19413107
row-00000252,1,0.56867514
row-00000253,1,0.69862722
row-00000254,0,0.43069788
row-00000255,1,0.77533006
row-00000256,0,0.56841141
row-00000257,0,0.19930629
row-00000258,1,0.74778041
row-00000259,0,0.34081483
row-00000260,0,0.16231605
row-00000261,1,0.31294595
row-00000262,0,0.50039324
row-00000263,1,0.56092877
row-00000264,0,0.39852927
row-00000265,1,0.81340315
row-00000266,0,0.51462152
row-00000267,0,0.30253154
row-00000268,0,0.11952078
row-00000269,0,0.22455898
row-00000270,0,0.42853836
row-00000271,1,0.98210107
row-00000272,0,0.17793174
row-00000273,0,0.25967358
row-00000274,0,0.32945163
row-00000275,0,0.14805712
row-00000276,1,0.76633280
row-00000277,0,0.25743959
row-00000278,1,0.63946447
row-00000279,1,0.91896237
row-00000280,1,0.76892134
row-00000281,1,0.67105626
row-00000282,0,0.33628464
row-00000283,0,0.48596906
row-00000284,0,0.10475759
row-00000285,0,0.31518771
row-00000286,0,0.59123042
row-00000287,1,0.47373715
row-00000288,0,0.13522080
row-00000289,0,0.12893919
row-00000290,0,0.52558241
row-00000291,0,0.49717995
row-00000292,1,0.69742297
row-00000293,0,0.35338571
row-00000294,0,0.12815396
row-00000295,0,0.17603276
row-00000296,1,0.74733027
row-00000297,1,0.41804784
row-00000298,0,0.24120007
row-00000299,1,0.83626077
row-00000300,0,0.34363492
row-00000301,1,0.48834620
row-00000302,0,0.17409447
row-00000303,1,0.56591011
row-00000304,0,0.26677255
row-00000305,0,0.36735326
row-00000306,0,0.21205810
row-00000307,0,0.37388695
row-00000308,0,0.10832013
row-00000309,0,0.09218956
row-00000310,0,0.02807845
row-00000311,1,0.70862529
row-00000312,0,0.11251631
row-00000313,0,0.24479934
row-00000314,0,0.50932790
row-00000315,1,0.55975744
row-00000316,1,0.53360458
row-00000317,0,0.24823259
row-00000318,1,0.64171021
row-00000319,1,0.66130734
row-00000320,1,0.34360505
row-00000321,1,0.43287928
row-00000322,0,0.39135413
row-00000323,0,0.34878738
row-00000324,0,0.16891163
row-00000325,1,0.90935067
row-00000326,0,0.35286741
row-00000327,0,0.37195418
row-00000328,0,0.21285595
row-00000329,1,0.71751695
row-00000330,0,0.28550651
row-00000331,1,0.83544306
row-00000332,0,0.23066396
row-00000333,0,0.39932615
row-00000334,0,0.14584262
row-00000335,0,0.39963739
row-00000336,1,0.87828291
row-00000337,0,0.13702170
row-00000338,0,0.36093110
row-00000339,1,0.86908621
row-00000340,0,0.27317306
row-00000341,0,0.28620021
row-00000342,1,0.71050559
row-00000343,0,0.20802451
row-00000344,0,0.17712707
row-00000345,1,0.81186617
row-00000346,0,0.39943419
row-00000347,0,0.44557535
row-00000348,0,0.19153227
row-00000349,0,0.55193090
row-00000350,0,0.37496230
row-00000351,1,0.64202147
row-00000352,1,0.66834157
row-00000353,1,0.79274042
row-00000354,0,0.20642654
row-00000355,0,0.08524575
row-00000356,0,0.13412983
row-00000357,0,0.34301481
row-00000358,0,0.49849487
row-00000359,0,0.49250184
row-00000360,0,0.22385285
row-00000361,1,0.78960686
row-00000362,1,0.65851012
row-00000363,0,0.04748502
row-00000364,0,0.42877068
row-00000365,1,0.95584335
row-00000366,0,0.20365442
row-00000367,1,0.76388505
row-00000368,0,0.19889117
row-00000369,0,0.38094060
row-00000370,0,0.36770335
row-00000371,0,0.23368002
row-00000372,0,0.10285652
row-00000373,0,0.53970374
row-00000374,0,0.47840492
row-00000375,0,0.48602367
row-00000376,0,0.23577795
row-00000377,1,0.87860431
row-00000378,1,0.54810811
row-00000379,0,0.33343333
row-00000380,0,0.19221429
row-00000381,0,0.11570154
row-00000382,0,0.46544725
row-00000383,1,0.64704298
row-00000384,0,0.07695760
row-00000385,0,0.22044547
row-00000386,0,0.27255012
row-00000387,1,0.66198013
row-00000388,0,0.15548392
row-00000389,0,0.17248344
row-00000390,0,0.43731213
row-00000391,0,0.51704922
row-00000392,0,0.33738219
row-00000393,1,0.56189264
row-00000394,0,0.32216525
row-00000395,0,0.06020123
row-00000396,1,0.59478582
row-00000397,0,0.21188430
row-00000398,0,0.51451509
row-00000399,0,0.49153721
row-00000400,0,0.21214864
row-00000401,1,0.41332220
row-00000402,1,0.89422354
row-00000403,0,0.25926423
row-00000404,0,0.23276507
row-00000405,0,0.11373664
row-00000406,0,0.37436411
row-00000407,0,0.52593861
row-00000408,0,0.18599696
row-00000409,0,0.17196965
row-00000410,0,0.22340557
row-00000411,1,0.67976999
row-00000412,0,0.07978638
row-00000413,0,0.23261241
row-00000414,0,0.15663027
row-00000415,0,0.25411846
row-00000416,0,0.29815665
row-00000417,0,0.13548859
row-00000418,0,0.10592820
row-00000419,1,0.55598365
row-00000420,0,0.28715624
row-00000421,1,0.69284171
row-00000422,1,0.61459979
row-00000423,1,0.81116376
row-00000424,1,0.73656311
row-00000425,0,0.02039028
row-00000426,1,0.64882282
row-00000427,0,0.07387208
row-00000428,1,0.79036865
row-00000429,1,0.76766413
row-00000430,0,0.48317438
row-00000431,0,0.14472763
row-00000432,0,0.55656512
row-00000433,0,0.08513304
row-00000434,0,0.07979673
row-00000435,1,0.93077720
row-00000436,0,0.15747574
row-00000437,0,0.21457323
row-00000438,1,0.78170310
row-00000439,1,0.76856290
row-00000440,0,0.25404960
row-00000441,1,0.63296972
row-00000442,0,0.50681330
row-00000443,0,0.19259026
row-00000444,0,0.26445914
row-00000445,0,0.33774782
row-00000446,0,0.12773682
row-00000447,0,0.28112143
row-00000448,0,0.13303311
row-00000449,0,0.27944863
row-00000450,0,0.31342803
row-00000451,1,0.77688922
row-00000452,0,0.38774745
row-00000453,0,0.14841121
row-00000454,0,0.07089476
row-00000455,0,0.27846003
row-00000456,1,0.68857522
row-00000457,0,0.28934265
row-00000458,0,0.24246439
row-00000459,1,0.81812063
row-00000460,1,0.93553702
row-00000461,0,0.11844002
row-00000462,0,0.39458677
row-00000463,0,0.06713457
row-00000464,1,0.75920714
row-00000465,1,0.87118728
row-00000466,0,0.15271134
row-00000467,1,0.80366635
row-00000468,0,0.13875512
row-00000469,0,0.34714850
row-00000470,0,0.04460227
row-00000471,0,0.35007116
row-00000472,0,0.35364984
row-00000473,0,0.29147097
row-00000474,0,0.68428777
row-00000475,0,0.03607436
row-00000476,0,0.27584113
row-00000477,0,0.55927162
row-00000478,0,0.31608093
row-00000479,0,0.54857875
row-00000480,0,0.40438725
row-00000481,0,0.16837319
row-00000482,0,0.26748471
row-00000483,1,0.80012569
row-00000484,0,0.34504429
row-00000485,0,0.43521488
row-00000486,0,0.44232236
row-00000487,0,0.19040617
row-00000488,0,0.39661743
row-00000489,0,0.40962105
row-00000490,1,0.89703314
row-00000491,1,0.74481807
row-00000492,0,0.23417936
row-00000493,0,0.27094048
row-00000494,0,0.10289946
row-00000495,1,0.67301683
row-00000496,0,0.01952143
row-00000497,1,0.44922576
row-00000498,0,0.41542808
row-00000499,0,0.16827629
row-00000500,0,0.23796807
row-00000501,0,0.45116369
row-00000502,0,0.50619411
row-00000503,0,0.12910059
row-00000504,0,0.40297896
row-00000505,0,0.36309664
row-00000506,0,0.38442423
row-00000507,0,0.54514537
row-00000508,0,0.42976896
row-00000509,0,0.07469915
row-00000510,0,0.22436176
row-00000511,0,0.30486578
row-00000512,0,0.31146963
row-00000513,0,0.63478041
row-00000514,1,0.53531518
row-00000515,1,0.80792198
row-00000516,1,0.86355286
row-00000517,1,0.68443957
row-00000518,0,0.23891013
row-00000519,0,0.18418425
row-00000520,1,0.82306270
row-00000521,0,0.24376844
row-00000522,0,0.51000701
row-00000523,1,0.47437447
row-00000524,0,0.35509959
row-00000525,0,0.35960973
row-00000526,0,0.52503129
row-00000527,1,0.52487310
row-00000528,0,0.12472937
row-00000529,0,0.14542257
row-00000530,1,0.71673644
row-00000531,1,0.62124472
row-00000532,0,0.20982092
row-00000533,0,0.16089996
row-00000534,0,0.31130336
row-00000535,0,0.15533704
row-00000536,0,0.13399580
row-00000537,0,0.63495737
row-00000538,0,0.08136421
row-00000539,1,0.69570672
row-00000540,0,0.26310376
row-00000541,1,0.84481245
row-00000542,0,0.26517870
row-00000543,1,0.63714220
row-00000544,1,0.78539392
row-00000545,1,0.54343503
row-00000546,1,0.34454541
row-00000547,0,0.36740663
row-00000548,0,0.30262494
row-00000549,1,0.96284354
row-00000550,0,0.12763290
row-00000551,0,0.20570993
row-00000552,0,0.31632567
row-00000553,0,0.11857748
row-00000554,0,0.56320593
row-00000555,0,0.58705072
row-00000556,0,0.51424580
row-00000557,0,0.15403171
row-00000558,0,0.17084316
row-00000559,1,0.97817702
row-00000560,0,0.33670491
row-00000561,0,0.38933658
row-00000562,0,0.08813864
row-00000563,0,0.43811995
row-00000564,0,0.26816617
row-00000565,0,0.23603668
row-00000566,1,0.85671785
row-00000567,0,0.22210442
row-00000568,0,0.41480972
row-00000569,0,0.27352949
row-00000570,1,0.63402634
row-00000571,0,0.40328088
row-00000572,1,0.54861696
row-00000573,0,0.52819866
row-00000574,0,0.09963560
row-00000575,0,0.49759501
row-00000576,0,0.34997693
row-00000577,0,0.41083744
row-00000578,0,0.18843894
row-00000579,1,0.90215415
row-00000580,0,0.17830056
row-00000581,1,0.57728918
row-00000582,0,0.48991280
row-00000583,1,0.80378871
row-00000584,0,0.21185314
row-00000585,1,0.48809626
row-00000586,0,0.16172165
row-00000587,1,0.84110037
row-00000588,0,0.08630414
row-00000589,0,0.15324286
row-00000590,0,0.10959934
row-00000591,0,0.19755023
row-00000592,0,0.20054026
row-00000593,0,0.11627103
row-00000594,1,0.79915381
row-00000595,1,0.42221664
row-00000596,0,0.26058757
row-00000597,0,0.14987259
row-00000598,0,0.39603635
row-00000599,0,0.09345058
row-00000600,0,0.36723711
row-00000601,0,0.39169228
row-00000602,1,0.85934491
row-00000603,1,0.79273021
row-00000604,1,0.55473376
row-00000605,0,0.26857938
row-00000606,1,0.66583033
row-00000607,0,0.54699776
row-00000608,1,0.80704818
row-00000609,0,0.27898882
row-00000610,0,0.35791136
row-00000611,0,0.14193270
row-00000612,1,0.46789509
row-00000613,0,0.03779584
row-00000614,1,0.75635562
row-00000615,0,0.22244395
row-00000616,0,0.32325585
row-00000617,0,0.24120591
row-00000618,0,0.17157069
row-00000619,0,0.66663223
row-00000620,0,0.14263026
row-00000621,0,0.51435877
row-00000622,1,0.42806007
row-00000623,0,0.40291844
row-00000624,1,0.66116671
row-00000625,0,0.17977315
row-00000626,1,0.93466964
row-00000627,0,0.20808851
row-00000628,0,0.24634370
row-00000629,0,0.35194036
row-00000630,0,0.62944549
row-00000631,1,0.52715797
row-00000632,1,0.74499466
row-00000633,0,0.18598230
row-00000634,1,0.90094592
row-00000635,1,0.76627231
row-00000636,1,0.78496152
row-00000637,0,0.14566173
row-00000638,0,0.43442348
row-00000639,1,0.43278171
row-00000640,1,0.57237438
row-00000641,0,0.29673312
row-00000642,1,0.58251175
row-00000643,0,0.25112767
row-00000644,0,0.14762471
row-00000645,0,0.16994814
row-00000646,0,0.28802757
row-00000647,0,0.68224653
row-00000648,0,0.50938627
row-00000649,1,0.89054721
row-00000650,0,0.24251985
row-00000651,1,0.45710992
row-00000652,0,0.75525285
row-00000653,0,0.35064463
row-00000654,0,0.15154818
row-00000655,0,0.42846292
row-00000656,0,0.19644190
row-00000657,0,0.46103109
row-00000658,0,0.45199563
row-00000659,0,0.23729642
row-00000660,0,0.41936423
row-00000661,0,0.22400214
row-00000662,1,0.91937388
row-00000663,0,0.56397983
row-00000664,0,0.20272941
row-00000665,1,0.68811096
row-00000666,1,0.61789498
row-00000667,1,0.80754337
row-00000668,1,0.50677177
row-00000669,0,0.31422987
row-00000670,0,0.38920251
row-00000671,0,0.17297192
row-00000672,1,0.80292432
row-00000673,0,0.24079635
row-00000674,1,0.78624592
row-00000675,1,0.56167491
row-00000676,1,0.65675291
row-00000677,1,0.90223725
row-00000678,0,0.26860513
row-00000679,0,0.75084166
row-00000680,0,0.53793725
row-00000681,0,0.54177388
row-00000682,1,0.66288838
row-00000683,1,0.69952069
row-00000684,0,0.14372008
row-00000685,0,0.22320611
row-00000686,0,0.14410540
row-00000687,0,0.23306966
row-00000688,0,0.23071533
row-00000689,1,0.59673020
row-00000690,1,0.65999273
row-00000691,0,0.48665570
row-00000692,1,0.66688483
row-00000693,1,0.39866445
row-00000694,0,0.14203995
row-00000695,1,0.70737224
row-00000696,0,0.42442442
row-00000697,0,0.10221369
row-00000698,0,0.22002700
row-00000699,0,0.57191455
row-00000700,1,0.72745243
row-00000701,0,0.54088427
row-00000702,0,0.32079664
row-00000703,0,0.05696383
row-00000704,1,0.64888539
row-00000705,1,0.95113545
row-00000706,0,0.05273637
row-00000707,0,0.53548670
row-00000708,0,0.76738926
row-00000709,0,0.41120439
row-00000710,0,0.36025494
row-00000711,0,0.12476674
row-00000712,0,0.55744625
row-00000713,1,0.22799394
row-00000714,0,0.26680073
row-00000715,0,0.13755420
row-00000716,0,0.17474546
row-00000717,0,0.11770099
row-00000718,1,0.49746844
row-00000719,0,0.32888800
row-00000720,0,0.14174282
row-00000721,0,0.26622313
row-00000722,1,0.88933845
row-00000723,0,0.46116132
row-00000724,0,0.13101822
row-00000725,1,0.41925346
row-00000726,0,0.35575574
row-00000727,1,0.63553033
row-00000728,0,0.29634427
row-00000729,0,0.42009632
row-00000730,0,0.09482935
row-00000731,1,0.48306798
row-00000732,1,0.84475926
row-00000733,0,0.14535300
row-00000734,0,0.28157260
row-00000735,0,0.43054113
row-00000736,0,0.22331702
row-00000737,1,0.89516174
row-00000738,1,0.43038594
row-00000739,1,0.58919871
row-00000740,0,0.21350295
row-00000741,0,0.17324934
row-00000742,0,0.32861400
row-00000743,1,0.79885290
row-00000744,0,0.26565723
row-00000745,0,0.24424467
row-00000746,0,0.41134428
row-00000747,0,0.10110364
row-00000748,1,0.87549511
row-00000749,0,0.26527977
row-00000750,0,0.18733287
row-00000751,0,0.31625493
row-00000752,0,0.45197328
row-00000753,0,0.56408738
row-00000754,0,0.18885371
row-00000755,1,0.76270290
row-00000756,0,0.25768253
row-00000757,1,0.56862592
row-00000758,1,0.75338882
row-00000759,0,0.39423465
row-00000760,0,0.35420032
row-00000761,1,0.80553744
row-00000762,1,0.66331762
row-00000763,1,0.66570508
row-00000764,1,0.81197589
row-00000765,0,0.48255068
row-00000766,0,0.32276454
row-00000767,0,0.15723019
row-00000768,1,0.95409091
row-00000769,1,0.90266877
row-00000770,0,0.03355152
row-00000771,1,0.31498115
row-00000772,0,0.17943255
row-00000773,0,0.48095241
row-00000774,1,0.85198922
row-00000775,0,0.29521063
row-00000776,1,0.86788152
row-00000777,0,0.26303916
row-00000778,0,0.31532404
row-00000779,0,0.15463345
row-00000780,0,0.57223132
row-00000781,0,0.40720416
row-00000782,1,0.91925574
row-00000783,1,0.65757753
row-00000784,0,0.41656789
row-00000785,0,0.12092618
row-00000786,0,0.31397957
row-00000787,0,0.28273951
row-00000788,0,0.10309271
row-00000789,1,0.76480123
row-00000790,0,0.29066328
row-00000791,0,0.60304537
row-00000792,0,0.05113299
row-00000793,0,0.23659708
row-00000794,0,0.63195117
row-00000795,1,0.70560033
row-00000796,0,0.37722436
row-00000797,1,0.69329240
row-00000798,0,0.20013189
row-00000799,1,0.88876591
row-00000800,0,0.54476373
row-00000801,0,0.03210928
row-00000802,0,0.46201988
row-00000803,0,0.48673727
row-00000804,0,0.62366292
row-00000805,0,0.04039743
row-00000806,0,0.14787125
row-00000807,1,0.76593147
row-00000808,1,0.95039523
row-00000809,0,0.26892888
row-00000810,0,0.39512247
row-00000811,1,0.60605774
row-00000812,0,0.32589354
row-00000813,1,0.57334251
row-00000814,0,0.29185039
row-00000815,0,0.10207828
row-00000816,0,0.10616266
row-00000817,1,0.74310260
row-00000818,0,0.14067656
row-00000819,0,0.54322811
row-00000820,1,0.67656672
row-00000821,1,0.80376566
row-00000822,1,0.63897308
row-00000823,1,0.86607688
row-00000824,1,0.56037808
row-00000825,1,0.53183548
row-00000826,0,0.15101098
row-00000827,0,0.48141041
row-00000828,0,0.23847679
row-00000829,0,0.25820892
row-00000830,1,0.81739090
row-00000831,0,0.08984911
row-00000832,0,0.15407900
row-00000833,1,0.96956821
row-00000834,0,0.11577600
row-00000835,1,0.80798677
row-00000836,0,0.03864901
row-00000837,0,0.22221211
row-00000838,1,0.73435605
row-00000839,0,0.21692688
row-00000840,0,0.26265396
row-00000841,1,0.83502101
row-00000842,1,0.70861073
row-00000843,0,0.28640853
row-00000844,1,0.74856160
row-00000845,0,0.14634367
row-00000846,0,0.32085846
row-00000847,0,0.11027658
row-00000848,0,0.31659130
row-00000849,1,0.73936797
row-00000850,0,0.43217637
row-00000851,0,0.11825214
row-00000852,0,0.39097369
row-00000853,0,0.39594003
row-00000854,0,0.27420963
row-00000855,0,0.02667593
row-00000856,1,0.54932750
row-00000857,1,0.44564487
row-00000858,1,0.69909955
row-00000859,1,0.54023915
row-00000860,0,0.02700332
row-00000861,0,0.14936019
row-00000862,0,0.27418139
row-00000863,0,0.37913811
row-00000864,0,0.17791364
row-00000865,1,0.72128835
row-00000866,0,0.26316788
row-00000867,1,0.56116137
row-00000868,0,0.46235072
row-00000869,0,0.29121957
row-00000870,0,0.07581759
row-00000871,0,0.34739035
row-00000872,0,0.39299398
row-00000873,1,0.87134890
row-00000874,1,0.73916983
row-00000875,1,0.89633043
row-00000876,0,0.04314595
row-00000877,1,0.56493924
row-00000878,0,0.28810607
row-00000879,0,0.19591181
row-00000880,0,0.19595787
row-00000881,1,0.74385213
row-00000882,0,0.40113606
row-00000883,0,0.20177077
row-00000884,1,0.84939238
row-00000885,0,0.68322958
row-00000886,1,0.82944891
row-00000887,0,0.62895118
row-00000888,1,0.70021424
row-00000889,0,0.18609923
row-00000890,0,0.21099985
row-00000891,1,0.24616263
row-00000892,0,0.35046343
row-00000893,0,0.50894985
row-00000894,1,0.93330884
row-00000895,0,0.33369249
row-00000896,0,0.18247193
row-00000897,0,0.23961336
row-00000898,0,0.34248052
row-00000899,0,0.56924997
row-00000900,0,0.59815410
row-00000901,0,0.11774388
row-00000902,1,0.72929306
row-00000903,0,0.40498141
row-00000904,1,0.49410114
row-00000905,1,0.71128066
row-00000906,1,0.79196993
row-00000907,0,0.18305385
row-00000908,1,0.62884030
row-00000909,1,0.96999148
row-00000910,1,0.85728037
row-00000911,0,0.69871270
row-00000912,0,0.15491724
row-00000913,0,0.19966407
row-00000914,0,0.16120755
row-00000915,1,0.54013443
row-00000916,0,0.13879162
row-00000917,1,0.76716128
row-00000918,0,0.11092103
row-00000919,0,0.09413975
row-00000920,0,0.50542990
row-00000921,1,0.38613082
row-00000922,0,0.41398227
row-00000923,0,0.67297534
row-00000924,1,0.79021483
row-00000925,0,0.07754451
row-00000926,0,0.17831149
row-00000927,1,0.89090247
row-00000928,1,0.95324903
row-00000929,0,0.25495465
row-00000930,0,0.13024848
row-00000931,0,0.12958661
row-00000932,0,0.57038386
row-00000933,1,0.62581166
row-00000934,0,0.20895892
row-00000935,0,0.43930425
row-00000936,0,0.63678479
row-00000937,1,0.92058444
row-00000938,0,0.42250399
row-00000939,0,0.64891328
row-00000940,1,0.81833745
row-00000941,0,0.63986974
row-00000942,0,0.39231716
row-00000943,1,0.76238937
row-00000944,0,0.33835076
row-00000945,0,0.37468637
row-00000946,0,0.29685523
row-00000947,0,0.22178050
row-00000948,0,0.53616104
row-00000949,1,0.91441372
row-00000950,0,0.44736735
row-00000951,0,0.36915272
row-00000952,1,0.57505637
row-00000953,0,0.24967131
row-00000954,0,0.53502628
row-00000955,0,0.24500447
row-00000956,1,0.73098581
row-00000957,1,0.77165530
row-00000958,0,0.21647657
row-00000959,0,0.08744794
row-00000960,0,0.31240950
row-00000961,0,0.44482837
row-00000962,0,0.10618221
row-00000963,0,0.03135408
row-00000964,0,0.68977911
row-00000965,0,0.18510527
row-00000966,0,0.31356841
row-00000967,0,0.01724679
row-00000968,1,0.91312229
row-00000969,0,0.16383585
row-00000970,0,0.16249140
row-00000971,0,0.20764440
row-00000972,0,0.37444698
row-00000973,1,0.84174763
row-00000974,0,0.15643422
row-00000975,0,0.14620225
row-00000976,0,0.51804559
row-00000977,0,0.36663929
row-00000978,0,0.23603525
row-00000979,0,0.31435285
row-00000980,0,0.13908924
row-00000981,1,0.63968403
row-00000982,1,0.85139615
row-00000983,0,0.25298465
row-00000984,0,0.12658669
row-00000985,0,0.14838466
row-00000986,1,0.57769625
row-00000987,0,0.08465183
row-00000988,0,0.09056438
row-00000989,1,0.67725280
row-00000990,1,0.51226371
row-00000991,0,0.19356639
row-00000992,0,0.42929786
row-00000993,0,0.44872183
row-00000994,0,0.08504174
row-00000995,0,0.19642955
row-00000996,0,0.38168693
row-00000997,0,0.39474580
