job_id,arrival_time,service_time,priority,job_type
J0207,257.7302,1.2141,3,batch
J0208,258.8661,1.8871,2,standard
J0209,262.1627,0.7579,2,standard
J0210,262.6273,0.7600,2,standard
J0211,263.1324,0.8642,1,urgent
J0212,263.6334,1.5723,1,urgent
J0213,263.8946,0.2000,1,urgent
J0214,265.1415,2.8026,3,batch
J0215,266.5178,0.9661,3,batch
J0216,266.7316,0.4607,2,standard
J0217,267.0071,0.4530,3,batch
J0218,267.6651,0.8469,1,urgent
J0219,268.1677,0.6775,2,standard
J0220,270.9951,0.7158,3,batch
J0221,274.9153,0.6328,2,standard
J0222,276.2538,2.1175,2,standard
J0223,278.1415,0.5158,3,batch
J0224,278.1620,0.8728,2,standard
J0225,279.0959,0.6388,3,batch
J0226,279.4326,4.9191,2,standard
J0227,280.2599,1.5552,2,standard
J0228,281.7668,1.8862,2,standard
J0229,281.9497,1.7705,3,batch
J0230,282.2820,1.7465,1,urgent
J0231,282.8184,1.2655,2,standard
J0232,284.4892,3.6284,2,standard
J0233,284.7415,0.5577,1,urgent
J0234,285.9238,2.1752,2,standard
J0235,289.6841,1.6142,3,batch
J0236,289.7042,1.7434,2,standard
J0237,290.5569,0.9307,3,batch
J0238,290.9877,1.1366,2,standard
J0239,293.9952,1.6215,2,standard
J0240,296.6249,1.4069,2,standard
J0241,298.1065,0.7865,2,standard
J0242,300.9589,1.8463,2,standard
J0243,301.2916,0.6887,2,standard
J0244,303.2974,0.8773,2,standard
J0245,303.4940,1.1528,1,urgent
J0246,304.4348,1.3274,1,urgent
J0247,305.9941,0.3075,2,standard
J0248,306.2271,2.2761,3,batch
J0249,306.3741,0.5947,3,batch
J0250,306.5335,0.9855,2,standard
