city_id,year,treated,post,no2_ug_m3
10,2020,0,0,38.10725630438209
10,2021,0,1,38.46076123127019
10,2022,0,1,34.87251429820204
10,2023,0,1,34.54407416354368
11,2017,0,0,37.294517529362324
11,2018,0,0,35.66926202890577
11,2019,0,0,34.642942873058225
11,2020,0,0,37.05201218938423
11,2021,0,1,35.78453780024908
11,2022,0,1,33.59020408711141
11,2023,0,1,33.04464733355688
12,2017,0,0,37.02047060993818
12,2018,0,0,34.46869136086585
12,2019,0,0,37.4543271070482
12,2020,0,0,32.343584171794184
12,2021,0,1,35.59548706663344
12,2022,0,1,31.979199055847428
12,2023,0,1,33.86396383378646
13,2017,0,0,39.97039059521954
13,2018,0,0,39.58181541077355
13,2019,0,0,40.77837450385141
13,2020,0,0,39.29108400308547
13,2021,0,1,38.639236829913195
13,2022,0,1,34.19416621272301
13,2023,0,1,35.358508188910065
14,2017,0,0,42.20774526639063
14,2018,0,0,40.21008437311809
14,2019,0,0,36.44445423152373
14,2020,0,0,39.68367958984513
14,2021,0,1,37.35022554574165
14,2022,0,1,39.676864982142384
14,2023,0,1,37.85930826864825
15,2017,0,0,40.14294410309468
15,2018,0,0,37.610971858435846
15,2019,0,0,36.468371140405054
15,2020,0,0,36.87735622055297
15,2021,0,1,35.3832898624108
15,2022,0,1,30.922337075708725
15,2023,0,1,33.54202380635818
16,2017,0,0,40.224169528388224
16,2018,0,0,37.287197104168115
16,2019,0,0,41.326778328619035
16,2020,0,0,38.48799753231622
16,2021,0,1,39.801797409626175
16,2022,0,1,39.23189631274519
16,2023,0,1,34.54285014360251
17,2017,0,0,38.394828830441945
17,2018,0,0,37.6174675062041
17,2019,0,0,37.97130690217962
17,2020,0,0,37.53929441496136
17,2021,0,1,32.830007613655944
17,2022,0,1,35.49121280068406
17,2023,0,1,33.24999593738457
18,2017,0,0,39.57444632370508
18,2018,0,0,41.26103823757392
18,2019,0,0,39.25232662635452
18,2020,0,0,43.20214312836574
18,2021,0,1,37.720296657806855
18,2022,0,1,39.60253529092348
18,2023,0,1,36.647670299178664
19,2017,0,0,37.08602274752792
19,2018,0,0,36.664086134726624
19,2019,0,0,37.22424064081984
19,2020,0,0,34.386036222197774
19,2021,0,1,36.54208336657824
19,2022,0,1,34.5453027392382
19,2023,0,1,32.55215347406036
20,2017,0,0,37.6528022271485
20,2018,0,0,35.58016072599968
20,2019,0,0,34.46870257368689
20,2020,0,0,39.44210217029441
20,2021,0,1,34.497687196208496
20,2022,0,1,34.01772196657975
20,2023,0,1,33.01006136629633
21,2017,0,0,39.45579412008064
21,2018,0,0,38.92267192300456
21,2019,0,0,38.631318301950685
21,2020,0,0,37.65886193630767
21,2021,0,1,40.39442037913741
21,2022,0,1,37.17538023826412
21,2023,0,1,34.46205272543851
22,2017,0,0,33.914337884801675
22,2018,0,0,36.86220725093946
22,2019,0,0,34.98330007689265
22,2020,0,0,35.97724610621168
22,2021,0,1,32.739911550453094
22,2022,0,1,34.96377729748889
22,2023,0,1,34.38469580220444
23,2017,0,0,40.46249889230704
23,2018,0,0,42.00675817182157
23,2019,0,0,39.84682324727023
23,2020,0,0,35.2463678154522
23,2021,0,1,33.87215248159426
23,2022,0,1,33.9344167045346
23,2023,0,1,32.83753934035878
24,2017,0,0,41.076344959409404
24,2018,0,0,38.76500209528136
24,2019,0,0,39.52333429395398
24,2020,0,0,40.173394747871875
24,2021,0,1,37.791478482744914
24,2022,0,1,37.69674695289169
24,2023,0,1,37.5249758680813
25,2017,0,0,41.169619087284886
25,2018,0,0,38.83317777421311
25,2019,0,0,39.475258972083566
25,2020,0,0,37.58696103749105
25,2021,0,1,34.056031238612874
25,2022,0,1,32.60101872539849
25,2023,0,1,36.67356314333192
26,2017,0,0,42.33768137373985
26,2018,0,0,40.835829866142824
26,2019,0,0,40.144509482310895
26,2020,0,0,39.77518191473666
26,2021,0,1,38.71338203113839
26,2022,0,1,39.955075527318975
26,2023,0,1,35.18644018783239
27,2017,0,0,37.751983290773765
27,2018,0,0,39.08993899717127
27,2019,0,0,32.150931255768334
27,2020,0,0,35.24756792392094
27,2021,0,1,34.11940214186458
27,2022,0,1,36.00406742213444
27,2023,0,1,37.250457494408494
28,2017,0,0,35.950613231876574
28,2018,0,0,36.53066713677037
28,2019,0,0,35.63806924327895
28,2020,0,0,34.33306113045697
28,2021,0,1,33.8804540973536
28,2022,0,1,35.871784290151744
28,2023,0,1,32.833643572854974
29,2017,0,0,39.36755461862881
29,2018,0,0,38.02450283851712
29,2019,0,0,37.76770355044596
29,2020,0,0,36.29096551360152
29,2021,0,1,37.09779894406284
29,2022,0,1,35.85775161342223
29,2023,0,1,35.410254151229466
30,2017,0,0,36.122011457141674
30,2018,0,0,40.72319318269591
30,2019,0,0,37.453241652801765
30,2020,0,0,36.66220591606027
30,2021,0,1,37.63821383677454
30,2022,0,1,33.47283552010199
30,2023,0,1,34.50231890099116
31,2017,1,0,46.16874746405934
31,2018,1,0,51.02920315917055
31,2019,1,0,51.09112697270891
31,2020,1,0,49.13927341221083
31,2021,1,1,39.02066903539884
31,2022,1,1,40.75171375311166
31,2023,1,1,39.74022353054536
32,2017,1,0,48.70920528093008
32,2018,1,0,42.37602426217062
32,2019,1,0,41.38909581962913
32,2020,1,0,42.34088828205245
32,2021,1,1,35.479801175961
32,2022,1,1,34.77912387107587
32,2023,1,1,33.22473332563057
33,2017,1,0,48.8063151345894
33,2018,1,0,47.477934616264385
33,2019,1,0,45.085004545881574
33,2020,1,0,43.96061576415411
33,2021,1,1,39.35944806284451
33,2022,1,1,41.53394733780099
33,2023,1,1,36.57970856955526
34,2017,1,0,48.38148044355063
34,2018,1,0,49.613930544237704
34,2019,1,0,48.7172664891089
34,2020,1,0,47.883526384087745
34,2021,1,1,42.04333056410539
34,2022,1,1,40.98484892667983
34,2023,1,1,38.34225689491156
35,2017,1,0,49.954771033859
35,2018,1,0,46.965302645734226
35,2019,1,0,43.53214478346175
35,2020,1,0,41.054294759689604
35,2021,1,1,36.11407247453597
35,2022,1,1,37.34093825396576
35,2023,1,1,36.6131527942419
36,2017,1,0,50.60467870496601
36,2018,1,0,51.3097888636625
36,2019,1,0,47.706884428143184
36,2020,1,0,46.08148821900745
36,2021,1,1,38.152038629186954
36,2022,1,1,39.020344291958146
36,2023,1,1,40.05357156803283
37,2017,1,0,48.04047429965079
37,2018,1,0,51.156846487076606
37,2019,1,0,48.90757105913302
37,2020,1,0,48.496460819096015
37,2021,1,1,37.890500256651144
37,2022,1,1,40.46411529826087
37,2023,1,1,38.005861672386914
38,2017,1,0,50.90678105083792
38,2018,1,0,50.25274933078833
38,2019,1,0,45.19253012030285
38,2020,1,0,48.88257531489932
38,2021,1,1,41.48984483716933
38,2022,1,1,41.12708074085957
38,2023,1,1,35.45439255810643
39,2017,1,0,43.24792023113391
39,2018,1,0,42.65617678221399
39,2019,1,0,46.13592115382988
39,2020,1,0,42.14162250191121
39,2021,1,1,34.73686538580336
39,2022,1,1,36.31272963852697
39,2023,1,1,36.9773050018803
40,2017,1,0,43.17624260675527
40,2018,1,0,43.07878684935703
40,2019,1,0,39.87334577455943
40,2020,1,0,39.4312528169935
40,2021,1,1,33.397243698156316
40,2022,1,1,31.38255497802068
40,2023,1,1,31.5954678305207
41,2017,1,0,42.88704793208765
41,2018,1,0,48.44530455268105
41,2019,1,0,50.7382376426467
41,2020,1,0,49.17846679236965
41,2021,1,1,41.985492361276194
41,2022,1,1,42.66505708290068
41,2023,1,1,37.428398446407186
42,2017,1,0,47.94574709453597
42,2018,1,0,43.793825264246905
42,2019,1,0,46.02975273236888
42,2020,1,0,42.29941645992344
42,2021,1,1,37.32282320406751
42,2022,1,1,34.04515165388624
42,2023,1,1,35.57852701754494
43,2017,1,0,45.65222902713423
43,2018,1,0,44.59813682922852
43,2019,1,0,45.69903967938045
43,2020,1,0,40.35689013359527
43,2021,1,1,38.333736886318064
43,2022,1,1,34.04596703003141
43,2023,1,1,36.790627275305894
44,2017,1,0,47.71934120859657
44,2018,1,0,44.89531923397723
44,2019,1,0,43.2493881711204
44,2020,1,0,41.14984979015281
44,2021,1,1,35.37097701557496
44,2022,1,1,37.540683138953405
44,2023,1,1,35.917336378145436
45,2017,1,0,43.06820275110501
45,2018,1,0,43.09590386932385
45,2019,1,0,38.4456250364874
45,2020,1,0,41.33336336151362
45,2021,1,1,32.9260294491215
45,2022,1,1,35.58836028742212
45,2023,1,1,30.126601067656786
46,2017,1,0,43.98753216222678
46,2018,1,0,39.378284562550014
46,2019,1,0,42.350224137614326
46,2020,1,0,40.25585032021561
46,2021,1,1,32.87072481010625
46,2022,1,1,33.07705980098099
46,2023,1,1,31.32583760316666
47,2017,1,0,46.894690008002605
47,2018,1,0,43.76820694163896
47,2019,1,0,44.797943334581944
47,2020,1,0,45.622759782912254
47,2021,1,1,38.14867907873975
47,2022,1,1,31.528052764518783
47,2023,1,1,35.91008275940175
48,2017,1,0,47.49434956089689
48,2018,1,0,49.181527612224656
48,2019,1,0,47.6696412462204
48,2020,1,0,43.9704283723659
48,2021,1,1,42.30159417597097
48,2022,1,1,37.60099066006166
48,2023,1,1,37.776658466338546
49,2017,1,0,40.3444841301274
49,2018,1,0,36.16370816417225
49,2019,1,0,38.79720811928918
49,2020,1,0,38.73746591346303
49,2021,1,1,32.82744486241078
49,2022,1,1,31.82681151935011
49,2023,1,1,29.68821231879268
50,2017,1,0,46.70923281746716
50,2018,1,0,48.67819995267124
50,2019,1,0,46.91397944332193
50,2020,1,0,47.69110494297844
50,2021,1,1,41.170007739864246
50,2022,1,1,41.45199953818664
50,2023,1,1,37.36883114634765
51,2017,1,0,49.92723770838516
51,2018,1,0,49.38560348924904
51,2019,1,0,49.547401226338856
51,2020,1,0,47.50106858298601
51,2021,1,1,41.86869238021849
51,2022,1,1,40.832088293967935
51,2023,1,1,42.607699284301475
52,2017,1,0,48.69292719511798
52,2018,1,0,48.30896436428853
52,2019,1,0,44.321456254194274
52,2020,1,0,45.17154238009873
52,2021,1,1,38.5500983082954
52,2022,1,1,38.96352043550407
52,2023,1,1,36.67435085217972
53,2017,1,0,44.94230346142805
53,2018,1,0,46.83687977138731
53,2019,1,0,44.5953657457155
53,2020,1,0,45.279813522834075
53,2021,1,1,35.68683649199457
53,2022,1,1,38.560139019839454
53,2023,1,1,34.43435106095008
54,2017,1,0,47.91061565979182
54,2018,1,0,44.9477011109887
54,2019,1,0,44.73623305637607
54,2020,1,0,45.495073456388155
54,2021,1,1,37.38988390092561
54,2022,1,1,37.224786383976664
54,2023,1,1,38.23137761819204
55,2017,1,0,40.407328005572715
55,2018,1,0,39.3975003617946
55,2019,1,0,36.361942226988546
55,2020,1,0,37.249499451348015
55,2021,1,1,32.94845995964551
55,2022,1,1,27.598470656141767
55,2023,1,1,29.696975752051216
56,2017,1,0,44.976184919761636
56,2018,1,0,44.506972753002366
56,2019,1,0,44.840471258751926
56,2020,1,0,43.37514408837031
56,2021,1,1,33.56961893758283
56,2022,1,1,36.65945708746151
56,2023,1,1,31.973619866398053
57,2017,1,0,44.641111459884534
57,2018,1,0,44.466250013068134
57,2019,1,0,46.66450383748243
57,2020,1,0,44.284053929480926
57,2021,1,1,38.94911701398417
57,2022,1,1,34.9662474744378
57,2023,1,1,35.62613194748136
58,2017,1,0,45.311285309186765
58,2018,1,0,41.65842714916888
58,2019,1,0,43.194977189458676
58,2020,1,0,40.7665211441237
58,2021,1,1,33.9813227229794
58,2022,1,1,32.55374392220145
58,2023,1,1,35.77882445847051
59,2017,1,0,45.422227980452625
59,2018,1,0,44.803576873856365
59,2019,1,0,43.687934946022025
59,2020,1,0,42.61363222699334
59,2021,1,1,34.88867858849347
59,2022,1,1,37.54257533179369
59,2023,1,1,37.921105740528674
60,2017,1,0,46.38587905112769
60,2018,1,0,45.32361494249871
60,2019,1,0,41.558180275130695
60,2020,1,0,43.2990449702354
60,2021,1,1,33.90557809483336
60,2022,1,1,35.20843483589483
60,2023,1,1,32.911266429536056
