repetition,beta_insulation,beta_thermal,beta_sum
108,-13.053953810548498,-34.36819647062312,-47.42215028117162
109,-19.5421567610267,-27.797220666148494,-47.339377427175194
110,-15.700644454707014,-31.757706357210356,-47.45835081191737
111,-39.53480785280463,-7.534706739351833,-47.069514592156466
112,-35.97538102187741,-11.542936676732532,-47.51831769860994
113,-12.340763437910212,-35.44471629378982,-47.78547973170003
114,-17.17992993594506,-32.842425518313576,-50.02235545425864
115,-33.48834780715651,-13.239552119218049,-46.727899926374555
116,-42.732102659232744,-3.802354805374108,-46.53445746460685
117,-26.559913716722516,-22.944003507658802,-49.50391722438132
118,-38.412456483209105,-9.747451094627419,-48.15990757783652
119,-52.42823350631615,6.820466494417959,-45.60776701189819
120,-39.65456835558565,-7.540972741295775,-47.19554109688143
121,-19.599337088820416,-28.857070975259273,-48.45640806407969
122,-23.303049460513655,-23.36096794669163,-46.664017407205286
123,-18.71745619623806,-28.207785641486876,-46.92524183772494
124,-35.55393249809994,-12.972306290612302,-48.52623878871224
125,-25.163214441684165,-23.35114315699355,-48.51435759867772
126,-35.3654017042212,-11.932903445119301,-47.2983051493405
127,-32.18788918911717,-17.82031132573538,-50.00820051485255
128,-37.048880521474885,-9.493159460283493,-46.54203998175838
129,-38.946348329643854,-9.155040430605538,-48.10138876024939
130,-14.57248660851888,-31.184969769773055,-45.757456378291934
131,-30.98685400330734,-15.48381773307353,-46.470671736380865
132,-35.390048630824694,-12.665142919886623,-48.055191550711314
133,-23.088380553425356,-24.04415497845717,-47.132535531882525
134,-54.31809755310256,7.452092734724118,-46.86600481837844
135,-29.157512390820017,-17.475694991133565,-46.63320738195358
136,-24.30560220234355,-24.90566252664673,-49.21126472899028
137,-17.105782717837215,-28.98300277029521,-46.08878548813243
138,-28.40866391458364,-17.661081332950587,-46.06974524753423
139,-39.906552841785356,-9.546351556082634,-49.45290439786799
140,-31.97033727859985,-13.066396042123394,-45.03673332072324
141,-40.87577277295988,-7.350997098347643,-48.22676987130752
142,-24.925456462892875,-23.545824070904935,-48.47128053379781
143,-26.683385207325813,-21.213218223774447,-47.89660343110026
144,-38.99095324740419,-9.97727661091723,-48.96822985832142
145,-42.414087504181126,-6.360530223057717,-48.77461772723884
146,-8.85528149941435,-37.82928917895133,-46.684570678365674
147,-49.481240687252296,4.504197753909018,-44.97704293334328
148,-30.790842081551084,-19.453358646470882,-50.244200728021966
149,-36.63551886392086,-13.67339554180186,-50.30891440572272
150,-40.826664776701236,-8.898524651707387,-49.725189428408626
151,-21.717032139774453,-26.099527123604013,-47.816559263378466
152,-49.71449819879804,-1.3460700605991605,-51.0605682593972
153,-33.97094883339403,-14.01604107464199,-47.98698990803602
154,-28.587311974279082,-18.670878288048506,-47.25819026232759
155,-6.846980227684266,-39.362030593560945,-46.209010821245215
156,-28.914617040291155,-18.664648823984326,-47.579265864275484
157,-17.033242759114525,-30.324125411751524,-47.35736817086605
158,-23.158527785422905,-22.424278136238108,-45.58280592166101
159,-22.054395443166694,-25.26138379703586,-47.31577924020256
160,-26.364579140672937,-20.778145072321372,-47.14272421299431
161,-38.384796239618986,-10.018581975894893,-48.40337821551388
162,-35.411341592236596,-13.381924310510396,-48.793265902746995
163,-54.071792498567675,5.075482092714687,-48.99631040585299
164,-14.607543129918696,-33.26877633736249,-47.876319467281185
165,-20.086456229799843,-27.789484803650023,-47.87594103344986
166,-36.71017646791144,-10.400850155530446,-47.11102662344189
167,-33.149036372828036,-14.95696110799856,-48.105997480826595
168,-39.53888786835099,-8.447004088272635,-47.985891956623625
169,-36.60053238401009,-10.876621583424125,-47.47715396743421
170,-30.986514000120444,-16.917945315371302,-47.90445931549175
171,-27.62501501734998,-20.069423265043028,-47.69443828239301
172,-23.196092434255334,-25.480026392212615,-48.67611882646795
173,-28.71719609269474,-20.97682343513147,-49.694019527826214
174,-33.22797201225793,-15.50677983180034,-48.734751844058266
175,-17.98720133731355,-29.320638629417576,-47.30783996673112
176,-32.203746048737635,-14.03721344602538,-46.24095949476302
177,-38.88905555176356,-10.337968871699019,-49.22702442346258
178,-37.60079890849455,-8.76117243776391,-46.361971346258464
179,-34.27895512002329,-13.432041090934973,-47.710996210958264
180,-42.08564052902992,-8.163797283281239,-50.24943781231116
181,-31.870122314036475,-16.398472129725562,-48.26859444376204
182,-29.80231159919466,-16.52222854462005,-46.32454014381471
183,-34.75292197540318,-12.701710037039902,-47.454632012443085
184,-26.83594712116273,-20.360809133368218,-47.196756254530946
185,-33.20031781895719,-13.827948049750717,-47.028265868707905
186,-55.659465131401475,9.525649023959488,-46.13381610744199
187,-37.05556351914369,-9.832139249641116,-46.887702768784806
188,-18.014795940221425,-31.23068446557724,-49.245480405798666
189,-37.44804061804792,-8.36269293466988,-45.8107335527178
190,-30.13949242157795,-15.726740937516858,-45.86623335909481
191,-38.06200636220716,-9.619267002926268,-47.68127336513342
192,-27.784426408155095,-19.276145459283008,-47.0605718674381
193,-22.738194893432258,-23.117507120186417,-45.855702013618675
194,-37.50228694947844,-12.179252044071106,-49.681538993549545
195,-15.07986903556481,-31.479691518201868,-46.55956055376668
196,-39.56009333130163,-6.25611082384038,-45.81620415514201
197,-55.09344209820844,9.186324973122439,-45.907117125086
198,-36.92817052926146,-11.012099973885395,-47.94027050314685
199,-9.470238473997561,-39.97281639522471,-49.44305486922227
200,-19.126279779958438,-29.284756851509897,-48.411036631468335
201,-25.148348908965435,-24.096281903094397,-49.24463081205983
202,-32.72698252311658,-17.048615796930914,-49.77559832004749
203,-18.931505489799616,-32.00043622115352,-50.93194171095314
204,-44.33914039543765,-4.187204615804988,-48.52634501124264
205,-32.83983547678594,-15.037003653294306,-47.87683913008025
206,-37.97863773967255,-7.851368947654727,-45.83000668732728
207,-24.17512306545675,-22.96433125066146,-47.139454316118204
208,-30.584694166856487,-19.545876911569835,-50.13057107842632
209,-39.244588846634954,-8.106341664673582,-47.35093051130853
210,-37.85212130702269,-8.545281640992407,-46.3974029480151
211,-26.21732263768405,-21.731223296360824,-47.94854593404487
212,-37.40616878200142,-9.849580522213147,-47.25574930421457
213,-23.066542089252877,-25.217662867038243,-48.28420495629112
214,-17.458235092301457,-30.923776485368986,-48.38201157767044
215,-39.40334310411133,-9.05074968149735,-48.45409278560868
216,-35.61580754340288,-12.117403788911538,-47.73321133231442
217,-26.405872802415054,-22.613081089047448,-49.0189538914625
218,-17.8055673033533,-32.77367206351309,-50.57923936686639
219,-36.425922846744626,-12.43132423254138,-48.857247079286005
220,-52.705894206648814,6.20431571056819,-46.501578496080626
221,-31.319734047191137,-17.34792311828759,-48.66765716547873
222,-22.43578868065282,-26.173127744106385,-48.6089164247592
223,-28.37039225089225,-20.16979265531465,-48.5401849062069
224,-9.534313531027035,-36.00208807277049,-45.53640160379753
225,-33.25568777295756,-13.260895210452343,-46.516582983409904
226,-36.84744359988796,-9.934961133707219,-46.78240473359518
227,-33.315876875072036,-15.314329368664367,-48.6302062437364
228,-52.890174892199155,3.816345592459342,-49.07382929973981
229,-26.775160090954145,-20.080266656495134,-46.85542674744928
230,-41.86773204259196,-4.372649301563181,-46.24038134415514
231,-16.764199052270335,-32.067174545673595,-48.83137359794393
232,-31.069562766818777,-16.530325776496202,-47.599888543314975
233,-32.86082566367108,-13.793290489980222,-46.6541161536513
234,-34.4412110944382,-14.562023295670215,-49.00323439010842
235,-26.35064322584382,-20.472513642317132,-46.82315686816095
236,-33.13662664323233,-16.72369824162844,-49.86032488486077
237,-38.096889583204366,-11.095848648102667,-49.19273823130703
238,-32.62680816479989,-14.366871714956535,-46.99367987975643
239,-29.707402947754893,-19.31402130124138,-49.02142424899627
240,-39.922580125074305,-6.947499901483658,-46.870080026557964
241,-16.05068670152724,-31.30184850181852,-47.35253520334576
242,-40.93009528559329,-7.160161996006909,-48.0902572816002
243,-44.9498563764675,-1.9289029719857194,-46.87875934845322
244,-26.084514133303394,-22.789067364392707,-48.8735814976961
245,-18.953673233192724,-26.827167069680232,-45.78084030287296
246,-24.266704103651666,-22.824249485794898,-47.09095358944656
247,-28.780578396469977,-19.169296883486155,-47.94987527995613
248,-27.363786630936744,-21.753150492595086,-49.11693712353183
249,-33.69591046217083,-12.20725228810985,-45.90316275028068
250,-36.1485668740338,-14.275547477132744,-50.42411435116654
251,-45.545946098488045,-3.9866676164498553,-49.5326137149379
252,-50.24456897342668,3.0365858991860364,-47.207983074240644
253,-8.233103450897001,-35.48866979629308,-43.721773247190086
254,-23.320943829367874,-25.1967506917608,-48.517694521128675
255,-43.98551449493065,-2.736513568144577,-46.72202806307523
256,-45.21118989255554,-4.222205154675201,-49.43339504723074
257,-42.933379721767395,-4.695790783967103,-47.6291705057345
258,-36.84571869508693,-11.176122540505226,-48.021841235592156
259,-35.17274508329421,-13.281099280149967,-48.453844363444176
260,-52.34761878427885,2.7525956472087074,-49.59502313707014
261,-39.39775887374861,-11.994108321412636,-51.39186719516124
262,-31.819577145680697,-16.18727048195042,-48.00684762763112
263,-21.835373590174967,-23.86354830246264,-45.69892189263761
264,-16.544772141641868,-30.87975091267571,-47.424523054317575
265,-29.27948461971348,-23.63174686708553,-52.91123148679901
266,-23.416524747296435,-25.219560563232744,-48.63608531052918
267,-25.23212003588403,-21.45223282740083,-46.68435286328486
268,-33.06018943579999,-17.464910901574868,-50.52510033737486
269,-40.82505300141707,-8.139464432275137,-48.96451743369221
270,-14.425771029763267,-31.27027081214011,-45.69604184190338
271,-34.00623638893001,-15.812991822005461,-49.81922821093548
272,-39.38131742894266,-8.793027431308346,-48.174344860251004
273,-30.956715074216227,-16.47059346910828,-47.42730854332451
274,-23.71436422070378,-24.03900537935259,-47.753369600056374
275,-29.477498943923084,-16.274783378983674,-45.75228232290676
276,-27.081634167105364,-20.059874775063776,-47.14150894216914
277,-27.661204757661128,-21.33689877753948,-48.99810353520061
278,-18.01763095059394,-28.84254509409366,-46.8601760446876
279,-40.01143218181245,-6.54601082824842,-46.55744301006087
280,-33.30222594094244,-13.410218422392134,-46.712444363334576
281,-33.75908014745055,-13.825817673780179,-47.584897821230726
282,-31.923785813629358,-17.08579212720619,-49.00957794083555
283,-40.014318841965135,-6.63238532011043,-46.646704162075565
284,-51.94408462594306,2.2664190177959327,-49.67766560814713
285,-29.03409855861537,-17.555604453353162,-46.58970301196853
286,-28.509439188975577,-20.025775894698654,-48.53521508367423
287,-26.915651754411613,-22.079969347683377,-48.99562110209499
288,-25.815836808727617,-20.890768920346094,-46.706605729073715
289,-23.36360020503028,-27.587839811071305,-50.951440016101586
290,-45.627748244177226,-3.0555952265193866,-48.68334347069661
291,-6.173889366150739,-41.51326595614429,-47.68715532229503
292,-30.049042763315747,-16.54259268431838,-46.591635447634125
293,-25.06978828513927,-23.232127676307265,-48.30191596144654
294,-22.445662807386405,-23.97908657530352,-46.424749382689924
295,-35.94746276193776,-12.88220945981621,-48.82967222175397
296,-25.489177224954126,-21.201499524667703,-46.69067674962183
297,-37.355995557114795,-9.90433768521972,-47.26033324233451
298,-25.00340862928327,-21.621360800936046,-46.62476943021932
299,-36.844182061450226,-8.745410492835969,-45.5895925542862
300,-27.954078841683206,-19.904589580630578,-47.858668422313784
301,-50.22697210543056,1.1424063156660367,-49.084565789764525
302,-44.402436690783226,-3.6036942765317974,-48.00613096731502
303,-29.719810300269813,-18.32265958721822,-48.04246988748803
304,-11.28648994586823,-37.22811920247037,-48.51460914833859
305,-22.89378881812651,-26.33007087096424,-49.223859689090744
306,-54.23994734412709,6.271319007778089,-47.968628336349
307,-43.07173717681327,-5.58812384335903,-48.6598610201723
308,-21.225352559106867,-26.00988113557538,-47.23523369468225
309,-36.97587559572216,-9.849558832402584,-46.825434428124744
310,-48.231202124132,-1.002492886742477,-49.23369501087447
311,-45.078775006646225,-1.4288205867057258,-46.50759559335195
312,-26.63190531089521,-22.92219826530337,-49.55410357619858
313,-56.35140249174529,8.375615904198051,-47.97578658754724
314,-32.757494380621075,-15.660298426119631,-48.41779280674071
315,-42.53695772703972,-7.920597314332618,-50.45755504137234
316,-35.612165876062136,-13.556517137163247,-49.16868301322538
317,-44.67722119960422,-3.3930472416428046,-48.07026844124702
318,-37.54058257338764,-10.520085007367271,-48.06066758075491
319,-31.557225684063454,-19.402345297655025,-50.95957098171848
320,-38.61211590389577,-10.085803279194849,-48.69791918309062
321,-40.66763231478216,-7.138664634745993,-47.806296949528154
322,-32.343760578463055,-14.35042313953015,-46.694183717993205
323,-31.494837838405907,-17.60626319699211,-49.10110103539802
324,-19.783074270874874,-29.557909397930953,-49.340983668805826
325,-31.408876827971888,-15.86765991356151,-47.2765367415334
326,-34.894016176929156,-13.478807359785893,-48.372823536715046
327,-35.131794586641675,-12.594092014147833,-47.72588660078951
328,-40.88065109403291,-6.499996469501703,-47.380647563534616
329,-27.44418678645266,-18.31736509778851,-45.76155188424117
330,-9.639555921464959,-38.033562103600744,-47.673118025065705
331,-24.10582693666132,-23.299447522354182,-47.4052744590155
332,-34.74685780050536,-11.811774635941047,-46.55863243644641
333,-39.725590106302995,-5.889919623210332,-45.61550972951333
334,-35.09781513953659,-11.551708137513394,-46.64952327704999
335,-16.305525498686617,-28.126706806702302,-44.43223230538892
336,-32.90888771217887,-14.908533342095211,-47.81742105427408
337,-39.04395390050068,-9.535721583777676,-48.579675484278354
338,-12.71892722881193,-34.0834776989375,-46.80240492774943
339,-31.46941679777184,-18.71986648425874,-50.18928328203058
340,-32.75604635930997,-15.74770502555387,-48.50375138486384
341,-53.16262886024433,3.229508992685888,-49.933119867558446
342,-35.48384689343421,-13.26420322579121,-48.748050119225425
343,-28.307187580525643,-17.37100661081506,-45.6781941913407
344,-26.250666479884778,-20.562914494661918,-46.813580974546696
345,-38.36317145732416,-9.1215494119668,-47.48472086929095
346,-37.387132330846725,-11.727993109483268,-49.11512544032999
347,-40.68024441030382,-5.671978196412063,-46.352222606715884
348,-32.04109398804126,-16.238049240993874,-48.279143229035135
349,-39.50903843049383,-10.180939765689203,-49.689978196183034
350,-33.35465354664814,-14.54945760080984,-47.904111147457975
351,-23.223184003771006,-24.170509724671952,-47.393693728442955
352,-25.09581930334747,-21.98333467967126,-47.07915398301873
353,-23.03484765229958,-24.62056421975393,-47.655411872053506
354,-24.255718971295956,-23.257439718766648,-47.5131586900626
355,-31.42274733505591,-16.25909788089759,-47.6818452159535
356,-39.6006097065275,-6.36429441572961,-45.96490412225711
357,-19.768861692664174,-26.87932174516721,-46.648183437831385
358,-22.927323247137643,-25.537597908476105,-48.46492115561375
359,-18.6566738272915,-28.55804410819531,-47.21471793548681
360,-33.097788079113,-14.575908874553397,-47.6736969536664
361,-20.025040835455133,-29.56559979895297,-49.5906406344081
362,-20.597517149580884,-27.085577628144243,-47.68309477772513
363,-33.85126314331869,-12.551165955575044,-46.402429098893734
364,-45.01881412375176,-2.8997546461734096,-47.91856876992517
365,-32.971491670696864,-16.38054194308299,-49.35203361377985
366,-28.555887656845236,-18.850097941810596,-47.40598559865583
367,-45.60167028614096,-1.0991607028245767,-46.700830988965535
368,-25.417387813586775,-23.954440605528116,-49.37182841911489
369,-25.494598340122707,-25.156912285141363,-50.651510625264066
370,-29.557297550166133,-20.230089100554824,-49.78738665072096
371,-26.635981829906473,-19.83068357434243,-46.4666654042489
372,-46.554917957835904,-2.475752370993348,-49.03067032882925
373,-6.930208459449562,-40.831291544177326,-47.761500003626885
374,-28.019091061324204,-18.122216014523012,-46.141307075847216
375,-16.390863937808245,-31.36940919673139,-47.76027313453963
376,-32.993136120227874,-14.586893519519844,-47.58002963974772
377,-39.37039379104562,-9.403318419152821,-48.77371221019844
378,-19.822601182813624,-27.301486959235735,-47.12408814204936
379,-22.63673236016811,-24.958120263083334,-47.59485262325144
380,-20.303107096033163,-27.01243784712618,-47.31554494315934
381,-26.76781651100231,-21.471261596659232,-48.23907810766154
382,-17.20644323162653,-30.142733335234105,-47.349176566860635
383,-45.140304477844175,-1.0315189556708688,-46.171823433515044
384,-40.28478846869245,-6.586220578221962,-46.87100904691441
385,-32.37560781104702,-16.76371622595343,-49.13932403700045
386,-42.44407984864853,-6.5766119299919055,-49.02069177864043
387,-39.99207778272544,-10.688200791837584,-50.68027857456302
388,-22.473865255681325,-25.01692041539667,-47.490785671077994
389,-43.783368284539044,-4.176883096838168,-47.96025138137721
390,-46.477174535923346,-3.771876653045089,-50.24905118896844
391,-37.842527082684676,-8.918534427448776,-46.76106151013345
392,-33.30793309581276,-14.916890283088009,-48.224823378900766
393,-21.34080050383316,-26.415720174764488,-47.75652067859765
394,-14.091466471568156,-33.90974990911312,-48.00121638068127
395,-18.85937700860992,-25.735887034302372,-44.59526404291229
396,-34.80735654512476,-13.519164166899188,-48.32652071202395
397,-32.93964466040009,-13.322631683905918,-46.26227634430601
398,-16.29749865655719,-30.515475831859746,-46.81297448841694
399,-27.03225009773997,-21.618296432421815,-48.65054653016178
400,-26.031117334684794,-23.727953227978155,-49.75907056266295
401,-19.913915514396184,-28.088417828681457,-48.00233334307764
402,-30.945223814664292,-18.593424700945228,-49.53864851560952
403,-31.70996559736157,-15.50189474319727,-47.21186034055884
404,-22.42918343823765,-25.683429187323494,-48.11261262556114
405,-34.22750945207338,-12.916515224903433,-47.14402467697681
406,-17.41122436859081,-29.112271445179733,-46.52349581377054
407,-40.98036858270792,-8.092319618114576,-49.0726882008225
408,-33.23462329124706,-15.237519109405683,-48.47214240065274
409,-18.384801403284055,-29.43387131877499,-47.81867272205905
410,-24.561741394177517,-22.543283746972776,-47.10502514115029
411,-25.32121378248184,-22.877792109847285,-48.199005892329126
412,-27.176931406726922,-20.20213295396602,-47.379064360692944
413,-28.58302806021397,-16.36975737791789,-44.952785438131855
414,-30.054646156629033,-15.304105150002624,-45.35875130663166
415,-32.23750089033119,-17.970191485062173,-50.207692375393364
416,-30.613175897208215,-17.76383641862013,-48.377012315828345
417,-41.29845833557765,-6.427256376540953,-47.7257147121186
418,-43.705070487247895,-2.855334564630226,-46.56040505187812
419,-24.781598846463122,-24.67488225323405,-49.45648109969717
420,-21.748844918483602,-26.03001401122568,-47.77885892970929
421,-41.154505558416815,-6.75040262960273,-47.90490818801955
422,-35.32271834993751,-12.321919542943554,-47.644637892881065
423,-27.146430087134643,-20.31366802816648,-47.46009811530112
424,-11.829134394559429,-36.1926542590518,-48.021788653611225
425,-29.716136970486264,-15.788855071371238,-45.504992041857506
426,-48.69949195488878,-1.6297470924555704,-50.329239047344345
427,-42.926867091340256,-6.861983644225809,-49.788850735566065
428,-24.84939494787965,-23.799733658091778,-48.64912860597143
429,-31.71856421568673,-12.81293513049497,-44.531499346181704
430,-19.748205420158044,-29.591447199408478,-49.33965261956652
431,-50.40359819874817,3.3814635484865363,-47.022134650261634
432,-32.70734832517106,-15.289377355637747,-47.99672568080881
433,-30.841710105919326,-17.415711235696353,-48.25742134161568
434,-31.6136525834061,-16.2514246278918,-47.8650772112979
435,-27.042384419664373,-20.415010930508362,-47.45739535017273
436,-43.997575805473964,-5.257869650361059,-49.25544545583502
437,-41.089475704103194,-5.7307883330804685,-46.82026403718366
438,-23.610216972618097,-24.779118831500014,-48.38933580411811
439,-20.41650924670931,-27.6760937154807,-48.092602962190014
440,-35.07693370526398,-9.869012793862261,-44.945946499126244
441,-14.382520583235253,-32.346050686181776,-46.72857126941703
442,-39.248190998944,-6.392718116814052,-45.64090911575805
443,-36.58104475287612,-10.857886583206131,-47.43893133608225
444,-25.370024972301092,-23.74019359371254,-49.11021856601363
445,-27.841502124885487,-19.60415074236233,-47.445652867247816
446,-40.01424883634714,-7.384495407340097,-47.39874424368724
447,-25.773022213456045,-24.46973177893565,-50.2427539923917
448,-48.63572815998967,2.5471788848203545,-46.08854927516931
449,-41.938552688176344,-6.4326995745120925,-48.37125226268844
450,-33.43005782390691,-13.69374256093367,-47.12380038484058
451,-33.83920572635142,-13.545615112103883,-47.384820838455305
452,-35.48729476894492,-11.496571074884855,-46.983865843829776
453,-49.91587126409014,1.909738144434077,-48.00613311965606
454,-27.69833147564749,-19.273781275129853,-46.97211275077734
455,-25.644416380344403,-21.944968510058644,-47.589384890403046
456,-34.253057195378204,-11.762963818698214,-46.016021014076415
457,-28.37834848550283,-18.242421398180703,-46.620769883683536
458,-25.574670055449637,-22.37270215710199,-47.94737221255163
459,-36.8964193338399,-11.907224276922317,-48.80364361076222
460,-17.153025000981525,-30.258323343981573,-47.4113483449631
461,-38.14143591311597,-9.568978155428237,-47.71041406854421
462,-20.73156523666158,-24.4658193125612,-45.19738454922278
463,-17.68594961117559,-30.083183382908246,-47.76913299408383
464,-39.613237679175455,-7.058689689888311,-46.671927369063766
465,-31.77682422190308,-16.026129733547542,-47.80295395545062
466,-28.314457606999284,-18.61484816217384,-46.929305769173126
467,-58.638377400488466,8.992692733045395,-49.64568466744307
468,-18.85869640937038,-29.202343102202104,-48.06103951157249
469,-24.50255986711312,-25.992002517648995,-50.49456238476212
470,-24.19013636968196,-24.751330646122668,-48.941467015804626
471,-21.248493764391153,-26.78674883336746,-48.03524259775861
472,-27.167117882859927,-20.52211542752621,-47.689233310386136
473,-26.588145027044174,-21.00634528548312,-47.5944903125273
474,-40.08534750968392,-8.387276188782725,-48.47262369846665
475,-27.150900357049743,-20.776449406985424,-47.92734976403517
476,-31.818237656288424,-15.672838251729157,-47.49107590801758
477,-38.20931755083603,-7.315297919058963,-45.524615469895
478,-25.903163246941006,-22.315341456270353,-48.21850470321136
479,-32.11819965386855,-16.69352373596532,-48.81172338983387
480,-18.638973047132154,-26.27150651234473,-44.91047955947688
481,-30.655278317552362,-16.826882491105774,-47.482160808658136
