event_id,timestamp,sensor_id,temperature_c,quality,payload
evt-00000643,2026-01-01T00:00:10Z,sensor-005,34.40,suspect,"zone=2, batch=2"
evt-00002164,2026-01-01T00:00:10Z,sensor-006,26.28,good,"zone=3, batch=8"
evt-00001540,2026-01-01T00:00:10Z,sensor-007,28.00,suspect,"zone=1, batch=6"
evt-00004034,2026-01-01T00:00:10Z,sensor-007,-10.72,suspect,"zone=1, batch=16"
evt-00001080,2026-01-01T00:00:10Z,sensor-009,27.60,good,"zone=1, batch=4"
evt-00001985,2026-01-01T00:00:10Z,sensor-011,19.51,suspect,"zone=3, batch=7"
evt-00002601,2026-01-01T00:00:11Z,sensor-001,37.12,good,"zone=1, batch=10"
evt-00002739,2026-01-01T00:00:11Z,sensor-004,2.99,suspect,"zone=4, batch=10"
evt-00003021,2026-01-01T00:00:11Z,sensor-004,14.59,good,"zone=1, batch=12"
evt-00001059,2026-01-01T00:00:11Z,sensor-007,-10.67,good,"zone=1, batch=4"
evt-00000359,2026-01-01T00:00:11Z,sensor-010,-10.40,good,"zone=1, batch=1"
evt-00002161,2026-01-01T00:00:11Z,sensor-010,-6.93,good,"zone=4, batch=8"
evt-00000944,2026-01-01T00:00:12Z,sensor-003,-4.56,good,"zone=1, batch=3"
evt-00001042,2026-01-01T00:00:12Z,sensor-004,9.37,good,"zone=3, batch=4"
evt-00001006,2026-01-01T00:00:12Z,sensor-005,12.74,suspect,"zone=2, batch=4"
evt-00000656,2026-01-01T00:00:12Z,sensor-006,21.30,good,"zone=4, batch=2"
evt-00004134,2026-01-01T00:00:12Z,sensor-006,-4.09,good,"zone=3, batch=16"
evt-00001232,2026-01-01T00:00:12Z,sensor-008,34.01,suspect,"zone=3, batch=4"
evt-00001871,2026-01-01T00:00:12Z,sensor-009,4.21,good,"zone=2, batch=7"
evt-00000055,2026-01-01T00:00:13Z,sensor-005,-11.51,suspect,"zone=3, batch=0"
evt-00002657,2026-01-01T00:00:13Z,sensor-006,28.26,good,"zone=2, batch=10"
evt-00004476,2026-01-01T00:00:13Z,sensor-008,31.84,good,"zone=1, batch=17"
evt-00002963,2026-01-01T00:00:13Z,sensor-010,24.40,good,"zone=4, batch=11"
evt-00003598,2026-01-01T00:00:13Z,sensor-010,20.46,good,"zone=1, batch=14"
evt-00000817,2026-01-01T00:00:14Z,sensor-004,8.47,suspect,"zone=4, batch=3"
evt-00001086,2026-01-01T00:00:14Z,sensor-005,8.06,good,"zone=1, batch=4"
evt-00002860,2026-01-01T00:00:14Z,sensor-011,-11.60,good,"zone=3, batch=11"
evt-00000019,2026-01-01T00:00:14Z,sensor-012,-9.55,suspect,"zone=3, batch=0"
evt-00002629,2026-01-01T00:00:14Z,sensor-012,34.80,suspect,"zone=1, batch=10"
evt-00002418,2026-01-01T00:00:15Z,sensor-002,26.82,good,"zone=1, batch=9"
evt-00004426,2026-01-01T00:00:15Z,sensor-006,8.04,good,"zone=2, batch=17"
evt-00004847,2026-01-01T00:00:15Z,sensor-006,10.42,suspect,"zone=4, batch=19"
evt-00002453,2026-01-01T00:00:15Z,sensor-007,13.29,good,"zone=4, batch=9"
evt-00003557,2026-01-01T00:00:15Z,sensor-007,12.29,good,"zone=4, batch=14"
evt-00000514,2026-01-01T00:00:15Z,sensor-009,24.83,good,"zone=2, batch=2"
evt-00002489,2026-01-01T00:00:15Z,sensor-009,-2.08,suspect,"zone=2, batch=9"
evt-00001501,2026-01-01T00:00:15Z,sensor-010,0.28,good,"zone=1, batch=6"
evt-00004032,2026-01-01T00:00:16Z,sensor-004,16.81,suspect,"zone=1, batch=16"
evt-00001267,2026-01-01T00:00:16Z,sensor-006,-8.22,suspect,"zone=1, batch=5"
evt-00002331,2026-01-01T00:00:17Z,sensor-005,4.86,suspect,"zone=3, batch=9"
evt-00000534,2026-01-01T00:00:17Z,sensor-006,36.63,good,"zone=3, batch=2"
evt-00001260,2026-01-01T00:00:17Z,sensor-006,15.99,good,"zone=2, batch=5"
evt-00003642,2026-01-01T00:00:17Z,sensor-007,25.00,suspect,"zone=3, batch=14"
evt-00001005,2026-01-01T00:00:18Z,sensor-003,11.89,good,"zone=1, batch=4"
evt-00000855,2026-01-01T00:00:18Z,sensor-004,-3.75,good,"zone=2, batch=3"
evt-00003771,2026-01-01T00:00:18Z,sensor-004,12.64,suspect,"zone=3, batch=15"
evt-00002009,2026-01-01T00:00:18Z,sensor-005,20.30,suspect,"zone=1, batch=8"
evt-00002487,2026-01-01T00:00:18Z,sensor-009,21.94,good,"zone=2, batch=9"
evt-00003232,2026-01-01T00:00:18Z,sensor-009,36.53,suspect,"zone=4, batch=12"
evt-00000415,2026-01-01T00:00:18Z,sensor-010,-7.60,good,"zone=3, batch=1"
evt-00001386,2026-01-01T00:00:18Z,sensor-010,28.53,good,"zone=1, batch=5"
evt-00001553,2026-01-01T00:00:18Z,sensor-012,23.26,good,"zone=1, batch=6"
evt-00002090,2026-01-01T00:00:19Z,sensor-003,10.39,good,"zone=2, batch=8"
evt-00002163,2026-01-01T00:00:19Z,sensor-007,-5.03,good,"zone=4, batch=8"
evt-00002439,2026-01-01T00:00:19Z,sensor-008,36.79,suspect,"zone=4, batch=9"
evt-00003576,2026-01-01T00:00:19Z,sensor-009,21.09,good,"zone=4, batch=14"
evt-00003638,2026-01-01T00:00:19Z,sensor-009,22.31,good,"zone=1, batch=14"
evt-00004222,2026-01-01T00:00:19Z,sensor-010,-5.53,good,"zone=4, batch=16"
evt-00002732,2026-01-01T00:00:20Z,sensor-001,3.84,good,"zone=3, batch=10"
evt-00001354,2026-01-01T00:00:20Z,sensor-005,4.33,good,"zone=2, batch=5"
evt-00004431,2026-01-01T00:00:20Z,sensor-011,23.13,good,"zone=1, batch=17"
evt-00000292,2026-01-01T00:00:21Z,sensor-004,4.80,good,"zone=2, batch=1"
evt-00001195,2026-01-01T00:00:21Z,sensor-005,24.96,good,"zone=4, batch=4"
evt-00001882,2026-01-01T00:00:21Z,sensor-005,29.95,good,"zone=1, batch=7"
evt-00003659,2026-01-01T00:00:21Z,sensor-006,35.02,good,"zone=3, batch=14"
evt-00004396,2026-01-01T00:00:22Z,sensor-003,-5.00,good,"zone=4, batch=17"
evt-00001617,2026-01-01T00:00:22Z,sensor-005,3.48,good,"zone=2, batch=6"
evt-00000464,2026-01-01T00:00:22Z,sensor-008,18.17,good,"zone=4, batch=1"
evt-00002098,2026-01-01T00:00:22Z,sensor-008,31.05,good,"zone=1, batch=8"
evt-00001347,2026-01-01T00:00:22Z,sensor-011,19.04,suspect,"zone=1, batch=5"
evt-00004514,2026-01-01T00:00:23Z,sensor-003,-11.29,good,"zone=4, batch=18"
evt-00000632,2026-01-01T00:00:23Z,sensor-005,22.14,good,"zone=1, batch=2"
evt-00000168,2026-01-01T00:00:23Z,sensor-009,1.33,good,"zone=4, batch=0"
evt-00003386,2026-01-01T00:00:23Z,sensor-009,5.74,good,"zone=4, batch=13"
evt-00002391,2026-01-01T00:00:23Z,sensor-011,-3.46,good,"zone=2, batch=9"
evt-00003058,2026-01-01T00:00:23Z,sensor-012,14.20,suspect,"zone=3, batch=12"
evt-00001343,2026-01-01T00:00:24Z,sensor-002,-6.15,good,"zone=4, batch=5"
evt-00001939,2026-01-01T00:00:24Z,sensor-002,13.38,good,"zone=1, batch=7"
evt-00000623,2026-01-01T00:00:24Z,sensor-004,9.42,good,"zone=4, batch=2"
evt-00002284,2026-01-01T00:00:24Z,sensor-011,-4.60,suspect,"zone=1, batch=9"
evt-00000591,2026-01-01T00:00:24Z,sensor-012,12.12,good,"zone=2, batch=2"
evt-00003617,2026-01-01T00:00:25Z,sensor-001,19.00,good,"zone=2, batch=14"
evt-00002199,2026-01-01T00:00:25Z,sensor-002,13.94,good,"zone=2, batch=8"
evt-00002626,2026-01-01T00:00:25Z,sensor-005,-8.28,suspect,"zone=4, batch=10"
evt-00004938,2026-01-01T00:00:26Z,sensor-005,3.06,good,"zone=2, batch=19"
evt-00001396,2026-01-01T00:00:26Z,sensor-011,-3.99,suspect,"zone=4, batch=5"
evt-00002608,2026-01-01T00:00:27Z,sensor-001,-11.26,suspect,"zone=2, batch=10"
evt-00001477,2026-01-01T00:00:27Z,sensor-002,1.63,good,"zone=3, batch=5"
evt-00001643,2026-01-01T00:00:27Z,sensor-002,14.70,good,"zone=2, batch=6"
evt-00000940,2026-01-01T00:00:27Z,sensor-003,15.61,good,"zone=4, batch=3"
evt-00001723,2026-01-01T00:00:27Z,sensor-004,-11.93,good,"zone=1, batch=6"
evt-00003005,2026-01-01T00:00:27Z,sensor-004,-1.40,good,"zone=1, batch=12"
evt-00004012,2026-01-01T00:00:27Z,sensor-004,3.77,good,"zone=1, batch=16"
evt-00004481,2026-01-01T00:00:27Z,sensor-005,23.80,good,"zone=2, batch=17"
evt-00001185,2026-01-01T00:00:27Z,sensor-006,-5.09,good,"zone=4, batch=4"
evt-00003488,2026-01-01T00:00:27Z,sensor-007,-1.66,good,"zone=4, batch=13"
evt-00001450,2026-01-01T00:00:28Z,sensor-001,2.00,good,"zone=1, batch=5"
evt-00000012,2026-01-01T00:00:28Z,sensor-002,-1.13,good,"zone=2, batch=0"
evt-00001311,2026-01-01T00:00:28Z,sensor-003,24.26,suspect,"zone=2, batch=5"
evt-00001688,2026-01-01T00:00:28Z,sensor-003,-6.59,suspect,"zone=3, batch=6"
evt-00003972,2026-01-01T00:00:28Z,sensor-006,3.96,suspect,"zone=4, batch=15"
evt-00004079,2026-01-01T00:00:28Z,sensor-006,-7.54,good,"zone=1, batch=16"
evt-00000411,2026-01-01T00:00:28Z,sensor-007,16.21,good,"zone=1, batch=1"
evt-00002779,2026-01-01T00:00:28Z,sensor-007,6.05,good,"zone=4, batch=11"
evt-00000036,2026-01-01T00:00:28Z,sensor-008,-11.42,good,"zone=4, batch=0"
evt-00001620,2026-01-01T00:00:28Z,sensor-008,29.10,good,"zone=2, batch=6"
evt-00004021,2026-01-01T00:00:28Z,sensor-010,17.64,good,"zone=4, batch=16"
evt-00002175,2026-01-01T00:00:28Z,sensor-011,-9.71,good,"zone=2, batch=8"
evt-00004286,2026-01-01T00:00:29Z,sensor-004,18.05,suspect,"zone=4, batch=17"
evt-00004399,2026-01-01T00:00:29Z,sensor-004,0.40,suspect,"zone=4, batch=17"
evt-00003151,2026-01-01T00:00:29Z,sensor-005,-4.98,suspect,"zone=3, batch=12"
evt-00002701,2026-01-01T00:00:29Z,sensor-006,21.86,good,"zone=1, batch=10"
evt-00003410,2026-01-01T00:00:29Z,sensor-009,19.73,good,"zone=4, batch=13"
evt-00000278,2026-01-01T00:00:30Z,sensor-001,3.95,good,"zone=2, batch=1"
evt-00002580,2026-01-01T00:00:30Z,sensor-004,9.69,good,"zone=3, batch=10"
evt-00002638,2026-01-01T00:00:30Z,sensor-005,34.11,good,"zone=4, batch=10"
evt-00003510,2026-01-01T00:00:30Z,sensor-007,-4.70,suspect,"zone=2, batch=14"
evt-00000513,2026-01-01T00:00:30Z,sensor-009,21.58,good,"zone=3, batch=2"
evt-00000216,2026-01-01T00:00:30Z,sensor-010,-8.56,suspect,"zone=2, batch=0"
evt-00001619,2026-01-01T00:00:30Z,sensor-010,3.17,good,"zone=4, batch=6"
evt-00004028,2026-01-01T00:00:30Z,sensor-011,12.69,suspect,"zone=3, batch=16"
evt-00004220,2026-01-01T00:00:31Z,sensor-007,29.93,good,"zone=4, batch=16"
evt-00003968,2026-01-01T00:00:31Z,sensor-008,21.12,suspect,"zone=4, batch=15"
evt-00000745,2026-01-01T00:00:31Z,sensor-009,-7.29,good,"zone=2, batch=2"
evt-00001091,2026-01-01T00:00:31Z,sensor-009,35.11,good,"zone=2, batch=4"
evt-00004264,2026-01-01T00:00:31Z,sensor-012,-0.57,good,"zone=4, batch=17"
evt-00000619,2026-01-01T00:00:32Z,sensor-001,-3.90,suspect,"zone=4, batch=2"
evt-00002184,2026-01-01T00:00:32Z,sensor-006,28.98,good,"zone=1, batch=8"
evt-00001522,2026-01-01T00:00:32Z,sensor-009,-3.38,suspect,"zone=3, batch=6"
evt-00001520,2026-01-01T00:00:33Z,sensor-002,31.58,good,"zone=2, batch=6"
evt-00004743,2026-01-01T00:00:33Z,sensor-003,-7.69,good,"zone=3, batch=18"
evt-00001093,2026-01-01T00:00:33Z,sensor-010,-11.98,suspect,"zone=4, batch=4"
evt-00002094,2026-01-01T00:00:34Z,sensor-002,-0.48,good,"zone=4, batch=8"
evt-00004602,2026-01-01T00:00:34Z,sensor-003,16.95,good,"zone=3, batch=18"
evt-00002491,2026-01-01T00:00:34Z,sensor-004,4.84,good,"zone=3, batch=9"
evt-00002566,2026-01-01T00:00:34Z,sensor-005,12.81,good,"zone=3, batch=10"
evt-00001451,2026-01-01T00:00:34Z,sensor-007,9.05,good,"zone=1, batch=5"
evt-00001672,2026-01-01T00:00:35Z,sensor-003,30.66,good,"zone=1, batch=6"
evt-00004307,2026-01-01T00:00:35Z,sensor-003,33.16,good,"zone=3, batch=17"
evt-00001263,2026-01-01T00:00:35Z,sensor-005,-2.80,good,"zone=2, batch=5"
evt-00004678,2026-01-01T00:00:35Z,sensor-008,16.31,good,"zone=2, batch=18"
evt-00003060,2026-01-01T00:00:35Z,sensor-010,-3.72,good,"zone=3, batch=12"
evt-00001638,2026-01-01T00:00:35Z,sensor-011,16.14,good,"zone=3, batch=6"
evt-00003990,2026-01-01T00:00:35Z,sensor-011,33.91,suspect,"zone=1, batch=15"
evt-00002681,2026-01-01T00:00:36Z,sensor-001,26.04,good,"zone=3, batch=10"
evt-00003279,2026-01-01T00:00:36Z,sensor-006,20.06,suspect,"zone=3, batch=13"
evt-00004732,2026-01-01T00:00:36Z,sensor-007,24.81,suspect,"zone=4, batch=18"
evt-00001041,2026-01-01T00:00:36Z,sensor-010,29.75,suspect,"zone=4, batch=4"
evt-00004435,2026-01-01T00:00:36Z,sensor-012,35.00,good,"zone=2, batch=17"
evt-00002597,2026-01-01T00:00:37Z,sensor-005,7.05,suspect,"zone=2, batch=10"
evt-00002727,2026-01-01T00:00:37Z,sensor-009,23.84,good,"zone=4, batch=10"
evt-00001738,2026-01-01T00:00:37Z,sensor-010,-0.72,suspect,"zone=3, batch=6"
evt-00000156,2026-01-01T00:00:37Z,sensor-011,17.33,good,"zone=4, batch=0"
evt-00002946,2026-01-01T00:00:38Z,sensor-002,18.99,good,"zone=2, batch=11"
evt-00004141,2026-01-01T00:00:38Z,sensor-006,-2.27,good,"zone=4, batch=16"
evt-00002160,2026-01-01T00:00:38Z,sensor-007,10.43,good,"zone=1, batch=8"
evt-00002033,2026-01-01T00:00:38Z,sensor-009,4.98,good,"zone=1, batch=8"
evt-00001428,2026-01-01T00:00:39Z,sensor-001,-0.15,good,"zone=2, batch=5"
evt-00000255,2026-01-01T00:00:39Z,sensor-002,30.10,good,"zone=4, batch=1"
evt-00003805,2026-01-01T00:00:39Z,sensor-003,12.69,good,"zone=3, batch=15"
evt-00001506,2026-01-01T00:00:39Z,sensor-004,26.90,good,"zone=4, batch=6"
evt-00004366,2026-01-01T00:00:39Z,sensor-011,-5.15,good,"zone=2, batch=17"
evt-00000875,2026-01-01T00:00:40Z,sensor-001,-4.48,suspect,"zone=3, batch=3"
evt-00003587,2026-01-01T00:00:40Z,sensor-002,-7.33,good,"zone=2, batch=14"
evt-00004691,2026-01-01T00:00:40Z,sensor-003,3.21,good,"zone=4, batch=18"
evt-00004919,2026-01-01T00:00:40Z,sensor-003,4.78,good,"zone=2, batch=19"
evt-00000297,2026-01-01T00:00:40Z,sensor-010,23.49,good,"zone=3, batch=1"
evt-00004549,2026-01-01T00:00:41Z,sensor-005,19.00,good,"zone=3, batch=18"
evt-00001557,2026-01-01T00:00:41Z,sensor-012,24.83,good,"zone=2, batch=6"
evt-00002978,2026-01-01T00:00:41Z,sensor-012,27.10,good,"zone=2, batch=11"
evt-00003767,2026-01-01T00:00:42Z,sensor-001,19.97,good,"zone=3, batch=15"
evt-00002072,2026-01-01T00:00:42Z,sensor-002,-11.38,good,"zone=4, batch=8"
evt-00003813,2026-01-01T00:00:42Z,sensor-003,4.71,good,"zone=1, batch=15"
evt-00000027,2026-01-01T00:00:42Z,sensor-005,36.89,good,"zone=3, batch=0"
evt-00000655,2026-01-01T00:00:42Z,sensor-007,24.11,suspect,"zone=1, batch=2"
evt-00001305,2026-01-01T00:00:42Z,sensor-010,34.03,good,"zone=2, batch=5"
evt-00001068,2026-01-01T00:00:42Z,sensor-011,34.90,good,"zone=4, batch=4"
evt-00004723,2026-01-01T00:00:42Z,sensor-011,31.83,good,"zone=2, batch=18"
evt-00000483,2026-01-01T00:00:43Z,sensor-001,6.43,good,"zone=1, batch=1"
evt-00001890,2026-01-01T00:00:43Z,sensor-002,-4.63,good,"zone=1, batch=7"
evt-00001513,2026-01-01T00:00:43Z,sensor-003,4.24,good,"zone=1, batch=6"
evt-00000668,2026-01-01T00:00:43Z,sensor-007,20.95,good,"zone=2, batch=2"
evt-00001924,2026-01-01T00:00:43Z,sensor-009,5.74,good,"zone=1, batch=7"
evt-00003059,2026-01-01T00:00:43Z,sensor-009,-6.92,good,"zone=4, batch=12"
evt-00000864,2026-01-01T00:00:44Z,sensor-002,21.66,good,"zone=3, batch=3"
evt-00004888,2026-01-01T00:00:44Z,sensor-002,35.40,suspect,"zone=3, batch=19"
evt-00000379,2026-01-01T00:00:44Z,sensor-005,29.46,good,"zone=2, batch=1"
evt-00001182,2026-01-01T00:00:44Z,sensor-006,18.83,good,"zone=1, batch=4"
evt-00001439,2026-01-01T00:00:45Z,sensor-002,8.92,suspect,"zone=1, batch=5"
evt-00000082,2026-01-01T00:00:45Z,sensor-005,27.64,good,"zone=3, batch=0"
evt-00000610,2026-01-01T00:00:45Z,sensor-006,34.72,suspect,"zone=4, batch=2"
evt-00001249,2026-01-01T00:00:45Z,sensor-007,4.62,suspect,"zone=2, batch=4"
evt-00001030,2026-01-01T00:00:45Z,sensor-009,30.88,suspect,"zone=2, batch=4"
evt-00002700,2026-01-01T00:00:45Z,sensor-010,24.20,good,"zone=1, batch=10"
evt-00002061,2026-01-01T00:00:46Z,sensor-001,15.97,good,"zone=3, batch=8"
evt-00002139,2026-01-01T00:00:46Z,sensor-001,27.94,good,"zone=2, batch=8"
evt-00002451,2026-01-01T00:00:46Z,sensor-006,1.83,good,"zone=1, batch=9"
evt-00004923,2026-01-01T00:00:46Z,sensor-009,32.91,good,"zone=2, batch=19"
evt-00000364,2026-01-01T00:00:46Z,sensor-010,-1.44,good,"zone=1, batch=1"
evt-00000366,2026-01-01T00:00:46Z,sensor-011,7.21,good,"zone=3, batch=1"
evt-00003468,2026-01-01T00:00:47Z,sensor-004,28.63,good,"zone=4, batch=13"
evt-00002967,2026-01-01T00:00:47Z,sensor-006,9.45,good,"zone=2, batch=11"
evt-00003592,2026-01-01T00:00:47Z,sensor-008,24.49,good,"zone=4, batch=14"
evt-00003646,2026-01-01T00:00:47Z,sensor-012,-1.94,good,"zone=2, batch=14"
evt-00000447,2026-01-01T00:00:48Z,sensor-001,1.43,suspect,"zone=4, batch=1"
evt-00001551,2026-01-01T00:00:48Z,sensor-005,27.70,suspect,"zone=4, batch=6"
evt-00004745,2026-01-01T00:00:48Z,sensor-008,-7.59,good,"zone=3, batch=18"
evt-00000941,2026-01-01T00:00:49Z,sensor-003,-9.15,suspect,"zone=1, batch=3"
evt-00000437,2026-01-01T00:00:49Z,sensor-009,35.51,suspect,"zone=1, batch=1"
evt-00000972,2026-01-01T00:00:49Z,sensor-009,21.45,good,"zone=4, batch=3"
evt-00004855,2026-01-01T00:00:50Z,sensor-002,35.68,good,"zone=3, batch=19"
evt-00004970,2026-01-01T00:00:50Z,sensor-002,13.76,suspect,"zone=2, batch=19"
evt-00001261,2026-01-01T00:00:50Z,sensor-004,18.66,good,"zone=3, batch=5"
evt-00002261,2026-01-01T00:00:50Z,sensor-012,3.43,suspect,"zone=1, batch=9"
evt-00000125,2026-01-01T00:00:51Z,sensor-001,-0.13,suspect,"zone=2, batch=0"
evt-00001811,2026-01-01T00:00:51Z,sensor-001,-8.20,good,"zone=4, batch=7"
evt-00002749,2026-01-01T00:00:51Z,sensor-001,0.86,good,"zone=2, batch=10"
evt-00002993,2026-01-01T00:00:51Z,sensor-001,17.33,good,"zone=1, batch=11"
evt-00003402,2026-01-01T00:00:51Z,sensor-001,12.01,good,"zone=1, batch=13"
evt-00004045,2026-01-01T00:00:51Z,sensor-008,-6.96,suspect,"zone=1, batch=16"
evt-00003831,2026-01-01T00:00:51Z,sensor-011,30.24,good,"zone=4, batch=15"
evt-00003844,2026-01-01T00:00:51Z,sensor-011,30.92,suspect,"zone=2, batch=15"
evt-00001886,2026-01-01T00:00:51Z,sensor-012,29.11,good,"zone=2, batch=7"
evt-00000201,2026-01-01T00:00:52Z,sensor-003,8.44,good,"zone=1, batch=0"
evt-00000630,2026-01-01T00:00:52Z,sensor-003,31.02,suspect,"zone=4, batch=2"
evt-00001558,2026-01-01T00:00:52Z,sensor-005,3.45,good,"zone=2, batch=6"
evt-00002964,2026-01-01T00:00:53Z,sensor-002,7.30,good,"zone=2, batch=11"
evt-00001374,2026-01-01T00:00:53Z,sensor-007,-0.50,good,"zone=2, batch=5"
evt-00004669,2026-01-01T00:00:53Z,sensor-008,34.62,good,"zone=3, batch=18"
evt-00003705,2026-01-01T00:00:53Z,sensor-009,6.38,good,"zone=3, batch=14"
evt-00002703,2026-01-01T00:00:54Z,sensor-001,12.64,good,"zone=4, batch=10"
evt-00000561,2026-01-01T00:00:54Z,sensor-005,31.85,suspect,"zone=4, batch=2"
evt-00000728,2026-01-01T00:00:54Z,sensor-009,35.80,good,"zone=3, batch=2"
evt-00001602,2026-01-01T00:00:54Z,sensor-010,12.11,good,"zone=2, batch=6"
evt-00002234,2026-01-01T00:00:54Z,sensor-010,22.58,good,"zone=3, batch=8"
evt-00004652,2026-01-01T00:00:54Z,sensor-010,12.01,suspect,"zone=4, batch=18"
evt-00000876,2026-01-01T00:00:55Z,sensor-001,-8.10,good,"zone=4, batch=3"
evt-00003552,2026-01-01T00:00:55Z,sensor-003,16.39,good,"zone=4, batch=14"
evt-00001734,2026-01-01T00:00:55Z,sensor-008,-0.67,good,"zone=3, batch=6"
evt-00003491,2026-01-01T00:00:55Z,sensor-009,15.42,good,"zone=4, batch=13"
evt-00003731,2026-01-01T00:00:55Z,sensor-010,28.80,suspect,"zone=4, batch=14"
evt-00000119,2026-01-01T00:00:55Z,sensor-012,-2.32,good,"zone=2, batch=0"
evt-00003571,2026-01-01T00:00:56Z,sensor-009,14.14,suspect,"zone=2, batch=14"
evt-00004687,2026-01-01T00:00:56Z,sensor-009,17.11,good,"zone=1, batch=18"
evt-00001277,2026-01-01T00:00:56Z,sensor-010,-6.82,good,"zone=3, batch=5"
evt-00001245,2026-01-01T00:00:57Z,sensor-001,36.67,good,"zone=1, batch=4"
evt-00002512,2026-01-01T00:00:57Z,sensor-001,-5.11,good,"zone=4, batch=10"
