job_id,arrival_time,duration,priority,priority_name
JOB-0201,300,7,2,standard
JOB-0202,302,8,3,batch
JOB-0203,305,4,1,critical
JOB-0204,306,4,2,standard
JOB-0205,307,8,3,batch
JOB-0206,308,8,3,batch
JOB-0207,311,6,3,batch
JOB-0208,311,10,2,standard
JOB-0209,317,9,2,standard
JOB-0210,317,4,2,standard
JOB-0211,323,10,1,critical
JOB-0212,324,2,2,standard
JOB-0213,327,8,3,batch
JOB-0214,329,2,1,critical
JOB-0215,331,8,2,standard
JOB-0216,331,7,2,standard
JOB-0217,332,1,3,batch
JOB-0218,334,7,3,batch
JOB-0219,337,2,2,standard
JOB-0220,338,10,2,standard
JOB-0221,341,4,3,batch
JOB-0222,342,2,2,standard
JOB-0223,348,8,1,critical
JOB-0224,349,5,3,batch
JOB-0225,350,4,1,critical
JOB-0226,351,6,2,standard
JOB-0227,353,8,2,standard
JOB-0228,356,6,1,critical
JOB-0229,358,9,2,standard
JOB-0230,359,9,1,critical
JOB-0231,360,7,1,critical
JOB-0232,361,2,3,batch
JOB-0233,364,3,2,standard
JOB-0234,366,7,3,batch
JOB-0235,367,10,1,critical
JOB-0236,368,5,2,standard
JOB-0237,369,10,3,batch
JOB-0238,370,2,2,standard
JOB-0239,371,6,2,standard
JOB-0240,377,7,2,standard
JOB-0241,377,4,3,batch
JOB-0242,383,1,3,batch
JOB-0243,385,4,1,critical
JOB-0244,387,3,2,standard
JOB-0245,388,7,3,batch
JOB-0246,388,4,2,standard
JOB-0247,389,10,2,standard
JOB-0248,391,4,2,standard
JOB-0249,392,1,2,standard
JOB-0250,395,8,3,batch
JOB-0251,401,1,2,standard
JOB-0252,402,10,3,batch
JOB-0253,404,4,3,batch
JOB-0254,404,1,3,batch
JOB-0255,405,9,1,critical
JOB-0256,408,8,2,standard
JOB-0257,409,3,3,batch
JOB-0258,409,3,2,standard
JOB-0259,410,3,1,critical
JOB-0260,413,2,3,batch
JOB-0261,414,1,2,standard
JOB-0262,415,2,3,batch
JOB-0263,415,1,3,batch
JOB-0264,418,6,3,batch
JOB-0265,424,2,2,standard
JOB-0266,425,2,3,batch
JOB-0267,426,4,2,standard
JOB-0268,428,10,3,batch
JOB-0269,431,3,1,critical
JOB-0270,433,1,2,standard
JOB-0271,433,5,1,critical
JOB-0272,434,7,2,standard
JOB-0273,440,5,2,standard
JOB-0274,441,8,2,standard
JOB-0275,443,8,2,standard
JOB-0276,444,7,2,standard
JOB-0277,446,6,1,critical
JOB-0278,447,10,3,batch
JOB-0279,448,4,3,batch
JOB-0280,450,4,2,standard
JOB-0281,450,2,2,standard
JOB-0282,451,2,2,standard
JOB-0283,451,3,3,batch
JOB-0284,451,9,1,critical
JOB-0285,454,9,2,standard
JOB-0286,455,9,3,batch
JOB-0287,456,4,2,standard
JOB-0288,457,7,3,batch
JOB-0289,460,1,2,standard
JOB-0290,461,10,1,critical
JOB-0291,463,9,2,standard
JOB-0292,465,3,2,standard
JOB-0293,466,5,2,standard
JOB-0294,472,1,1,critical
JOB-0295,475,7,2,standard
JOB-0296,476,4,2,standard
JOB-0297,478,2,3,batch
JOB-0298,479,10,3,batch
JOB-0299,480,6,3,batch
